產品線,子類別,適用產業,適用工藝/應用,馬力範圍,代表性東元案例,主要競品,切入優勢
三相感應馬達,一般工業型 IE3,機械業,工具機主軸、輸送設備驅動,1-200 HP,上銀科技 2020 工具機馬達,東芝、ABB,性價比與在地交期
三相感應馬達,高效節能型 IE5,半導體設備,潔淨室幫浦、製程冷卻,5-100 HP,台積電竹科廠 EFEM 模組 2023,西門子、Toshiba,IE5 高效率符合 ESG
三相感應馬達,防爆型 EXd IIB,石化、能源,輸送泵、攪拌機、壓縮機,10-500 HP,中油大林廠 LNG 接收站,ATB、WEG,通過台灣 IECEx 認證
減速機與齒輪箱,蝸桿減速機,食品、包裝,輸送帶、攪拌機,0.5-30 HP,統一企業楊梅廠 2022,義大利 Bonfiglioli、SEW,現貨庫存與本地維修網
減速機與齒輪箱,斜齒輪減速機,鋼鐵、礦業,重型輸送、起重機,10-300 HP,中鋼大煉鋼廠輸送系統,Flender、SEW,重型承載與長壽命設計
變頻器,通用型 IP20,一般工業,風機、泵浦變速控制,1-200 HP,永信藥品中央空調 2023,Delta、Mitsubishi,與東元馬達整合最佳化
變頻器,高階向量型,工具機、機器人,伺服級控制應用,0.5-50 HP,上銀科技滾珠螺桿廠,Yaskawa、Fanuc,本地技術支援
伺服馬達,標準型,自動化、工具機,精密定位、機器手臂,0.1-7.5 kW,台達電桃園廠 SMT 線,Yaskawa、Mitsubishi,整合台灣自動化生態系
可程式控制器 PLC,中型機,整廠自動化,產線控制、製程整合,-,華新麗華 EAF 電弧爐控制,Mitsubishi、Omron,搭配東元變頻器整合方案
風機與壓縮機,離心鼓風機,汙水、氣體輸送,WWTP、製程曝氣,30-1000 HP,新北八里汙水廠 2021,Howden、Aerzen,節能型葉輪設計
低壓配電盤,MCC IEC61439,工廠配電,馬達控制中心,-,台塑麥寮六輕擴建,Schneider、ABB,短路承受 65kA 已驗證
風力發電機,雙饋型,再生能源,陸域與離岸風場,2-3 MW,彰化外海離岸風場,Vestas、Siemens Gamesa,本土供應鏈與運維
