年月,BU,產品線,營收(千元),毛利(千元),毛利率,出貨量,新增訂單,客戶數,客訴件數
2024-05,BU-A,變壓器,32000,9600,30.0%,28000,42,18,2
2024-05,BU-A,LED 模組,24000,6240,26.0%,55000,38,22,3
2024-05,BU-B,主機板,28000,7000,25.0%,3200,28,12,1
2024-05,BU-B,通訊模組,18000,4500,25.0%,9500,22,15,2
2024-05,BU-C,感測器,12000,2520,21.0%,18000,35,28,4
2024-06,BU-A,變壓器,33000,9900,30.0%,29000,44,18,1
2024-06,BU-A,LED 模組,26000,6760,26.0%,58000,42,24,3
2024-06,BU-B,主機板,29000,7250,25.0%,3300,29,12,1
2024-06,BU-B,通訊模組,19000,4845,25.5%,10000,24,15,2
2024-06,BU-C,感測器,12500,2625,21.0%,19000,36,28,3
2025-01,BU-A,變壓器,38000,11780,31.0%,33000,48,20,2
2025-01,BU-A,LED 模組,30000,7800,26.0%,68000,46,26,4
2025-01,BU-B,主機板,32000,8000,25.0%,3700,32,14,1
2025-01,BU-B,通訊模組,22000,5720,26.0%,11500,26,17,2
2025-01,BU-C,感測器,14000,2940,21.0%,21000,38,30,5
2025-06,BU-A,變壓器,40000,12800,32.0%,35000,50,22,2
2025-06,BU-A,LED 模組,34000,8840,26.0%,72000,48,28,3
2025-06,BU-B,主機板,35000,9100,26.0%,4000,34,15,1
2025-06,BU-B,通訊模組,24000,6480,27.0%,12500,28,18,2
2025-06,BU-C,感測器,15000,3150,21.0%,22000,40,32,4
2025-12,BU-A,變壓器,42000,14280,34.0%,37000,52,24,1
2025-12,BU-A,LED 模組,36000,9720,27.0%,76000,50,30,3
2025-12,BU-B,主機板,38000,10260,27.0%,4300,36,16,1
2025-12,BU-B,通訊模組,26000,7280,28.0%,13500,30,19,2
2025-12,BU-C,感測器,16000,3520,22.0%,23000,42,33,4
2026-01,BU-A,變壓器,40000,14000,35.0%,35000,50,24,1
2026-01,BU-A,LED 模組,40000,11200,28.0%,84000,55,32,2
2026-01,BU-B,主機板,30000,8400,28.0%,3500,32,16,1
2026-01,BU-B,通訊模組,30000,8400,28.0%,15500,34,21,2
2026-01,BU-C,感測器,20000,4400,22.0%,28000,48,35,3
2026-02,BU-A,變壓器,40000,14000,35.0%,35000,50,24,1
2026-02,BU-A,LED 模組,40000,11200,28.0%,84000,55,32,3
2026-02,BU-B,主機板,30000,8400,28.0%,3500,32,16,1
2026-02,BU-B,通訊模組,30000,8400,28.0%,15500,34,21,2
2026-02,BU-C,感測器,20000,4400,22.0%,28000,48,35,4
2026-03,BU-A,變壓器,40000,14000,35.0%,35000,50,24,1
2026-03,BU-A,LED 模組,40000,11200,28.0%,84000,55,32,3
2026-03,BU-B,主機板,30000,8400,28.0%,3500,32,16,1
2026-03,BU-B,通訊模組,30000,8400,28.0%,15500,34,21,2
2026-03,BU-C,感測器,20000,4400,22.0%,28000,48,35,4
