原料名稱,供應商名稱,產地,認證,參考定價,最低訂購量,月結,評等,備註
有機黑豆,花蓮縣農會,花蓮玉里,TAIWAN ORGANIC TOC,180元/公斤,1公噸,60天,A,潤之泉現用主供應商
有機黑豆,宜蘭縣有機合作社,宜蘭三星,TAIWAN ORGANIC,165元/公斤,500公斤,45天,B,潤之泉現用備援
有機黑豆,雲林某有機農場,雲林虎尾,TAIWAN ORGANIC,170元/公斤,1公噸,90天,B,新候選
有機糙米,花蓮縣農會,花蓮富里,TAIWAN ORGANIC,95元/公斤,2公噸,60天,A,潤之泉現用
有機糙米,台東縣農會,台東池上,TAIWAN ORGANIC TOC,105元/公斤,1公噸,45天,A,品質高
有機烏梅,南投縣信義鄉,南投信義,TAIWAN ORGANIC,420元/公斤,200公斤,90天,A,潤之泉現用
有機烏梅,雲林古坑,雲林古坑,TAIWAN ORGANIC,380元/公斤,300公斤,60天,B,新候選
有機紅棗,新疆進口商代理,新疆若羌,有機認證,1200元/公斤,100公斤,當月,B,進口風險中
米麴菌,日本進口菌種,日本京都,專利菌種,8000元/公斤,5公斤,當月,A,潤之泉現用
有機胡蘿蔔,花蓮自然農法合作社,花蓮壽豐,綠色保育標章,45元/公斤,500公斤,30天,A,潤之泉現用
