案例編號,產品線,年份,客戶層級,設計挑戰,解決方案摘要
L-2024-001,AI 雲端伺服器,2024,北美一線雲端品牌,2U GPU 機殼前後風阻過大,改採導風罩 + 增大進氣口面積 20%,風阻差降至 25 Pa
L-2024-002,AI 雲端伺服器,2024,北美一線雲端品牌,4U GPU 機殼振動測試不過,加強筋設計 + 內部 EVA 緩衝墊,通過 ASTM D4169
L-2024-003,博弈機,2024,北美博弈品牌商,GLI 防拆結構強化,改採三段式隔離鎖 + 防撬內框,通過 GLI-11
L-2024-004,博弈機,2024,澳洲博弈品牌商,顯示器固定結構震動鬆動,改用金屬背板 + 緩衝墊雙固定,通過客戶測試
L-2024-005,儲能系統,2024,歐洲住家型 ESS 品牌商,IP55 接縫漏水,改採 EPDM 雙層密封條 + 內凹擋水結構,通過 IP55
L-2024-006,儲能系統,2024,北美商業型 PCS,散熱風道引導不均,改採 V 型導風罩 + 分區風扇控制,溫差降至 5 °C 內
L-2023-007,工業電腦,2023,德國工控品牌,壁掛機殼 IP54 防水,進氣口改設於底部 + 加防塵濾網,通過 IP54
L-2023-008,POS,2023,日本連鎖零售,刷卡機與機殼模組化整合,改採滑軌式模組,維修拆裝時間縮短 60%
L-2023-009,AI 雲端伺服器,2023,北美一線雲端品牌,液冷模組固定鬆動,改採 T 型滑入固定 + 防漏液內襯,通過客戶可靠性測試
L-2023-010,博弈機,2023,北美博弈品牌商,顯示器面板防眩光,改採無框玻璃 + 防眩塗層,客戶滿意度提升
L-2023-011,儲能系統,2023,東南亞商業型 ESS,高溫環境散熱不足,改採鋁合金外殼 + 風扇強制散熱,通過 50 °C 環境測試
L-2023-012,工業電腦,2023,北美 KIOSK 品牌,戶外抗 UV,改採 ASA 工程塑膠面板 + UV 塗層,通過 1000 小時 UV 測試
L-2022-013,AI 雲端伺服器,2022,北美雲端品牌,熱抽換背板強度不足,改採加強筋 + 鈑金 1.2 mm,通過 50 次熱抽換測試
L-2022-014,博弈機,2022,北美博弈品牌商,KIOSK 型彩票機外觀美感,改採鏡面陽極 + LED 邊光設計,客戶採用為主推款
L-2022-015,儲能系統,2022,歐洲住家型 ESS 品牌商,客戶要求降低噪音,改採低噪風扇 + 減震墊,噪音降至 45 dB 以下
