供應商代碼,供應商名稱,品號,類別,期間,進貨批數,準時批數,合格數量,送驗數量,IQC合格率,委外發料數,委外良品數,委外超耗率
V001,旭東金屬,P-SPRING-T50,一般採購,2025Q4,12,11,4900,5000,98.0%,,,
V001,旭東金屬,P-SPRING-T50,一般採購,2026Q1,15,11,4750,5000,95.0%,,,
V002,大同精密,P-BARREL-3000,一般採購,2025Q4,8,8,1980,2000,99.0%,,,
V002,大同精密,P-BARREL-3000,一般採購,2026Q1,10,9,1960,2000,98.0%,,,
V003,昌邦工業,P-MOTOR-DX5,一般採購,2025Q4,6,5,780,800,97.5%,,,
V003,昌邦工業,P-MOTOR-DX5,一般採購,2026Q1,7,4,720,800,90.0%,,,
V004,精準零組,P-GAS-IM250,委外加工,2025Q4,5,5,1150,1200,95.8%,1200,1150,4.2%
V004,精準零組,P-GAS-IM250,委外加工,2026Q1,6,4,1080,1200,90.0%,1200,1080,10.0%
V005,聯興工業,P-COIL-90,一般採購,2025Q4,18,16,7920,8000,99.0%,,,
V005,聯興工業,P-COIL-90,一般採購,2026Q1,20,18,7900,8000,98.8%,,,
V006,中部螺絲,P-SCREW-BS5,一般採購,2025Q4,10,9,4980,5000,99.6%,,,
V006,中部螺絲,P-SCREW-BS5,一般採購,2026Q1,12,11,4950,5000,99.0%,,,
V007,新興電池,P-BATTERY-DCN660,委外加工,2025Q4,4,4,970,1000,97.0%,1000,970,3.0%
V007,新興電池,P-BATTERY-DCN660,委外加工,2026Q1,5,5,985,1000,98.5%,1000,985,1.5%
V008,華山金屬,P-MAGAZINE-NR90,委外加工,2025Q4,3,3,1480,1500,98.7%,1500,1480,1.3%
V008,華山金屬,P-MAGAZINE-NR90,委外加工,2026Q1,4,3,1440,1500,96.0%,1500,1440,4.0%
V009,日新表面處理,P-COATING-MIX,委外加工,2026Q1,8,6,2780,3000,92.7%,3000,2780,7.3%
V010,東銘鑄造,P-CAST-CYLINDER,一般採購,2026Q1,5,3,1450,1500,96.7%,,,
