案例編號,年度,事故類型,發生地點,直接原因,根本原因,改善措施,複發否,KPI影響,備註
AC-2022-01,2022,切割傷,加工區,未戴防割手套,個人防護具佩戴稽核不足,強制PPE檢查+教育訓練,否,失能傷害1件,示範用
AC-2022-02,2022,滑倒,包裝區,地面殘留導熱膏,清潔頻率不足、無防滑標示,增設防滑墊與即時清潔,是,虛驚2件,示範用
AC-2023-01,2023,夾傷,成型機,手伸入運轉區排除卡料,安全連鎖被旁路,恢復安全連鎖+上鎖掛牌LOTO,否,失能傷害1件,示範用
AC-2023-02,2023,化學品灼傷,調配區,未戴護目鏡接觸固化劑,SDS教育與防護不足,強制護目鏡+SDS再訓練,否,醫療傷害1件,示範用
AC-2023-03,2023,物料倒塌,倉儲,堆疊超高未固定,儲位高度規範未落實,限高標示+棧板固定,否,虛驚1件,示範用
AC-2024-01,2024,燙傷,熱壓區,徒手碰觸高溫模具,隔熱手套未配置,配置隔熱手套+警示標示,否,醫療傷害1件,示範用
AC-2024-02,2024,感電,保養區,帶電作業未斷電,電氣作業許可未執行,落實停電作業許可+驗電,否,虛驚1件,示範用
AC-2024-03,2024,跌倒,樓梯,趕工奔跑、扶手鬆動,設施點檢不確實,扶手維修+行為觀察,是,虛驚3件,示範用
AC-2024-04,2024,異物入眼,研磨區,未戴護目鏡,區域強制PPE未明確,區域PPE標準化,否,醫療傷害1件,示範用
AC-2024-05,2024,搬運拉傷,出貨區,單人搬重物,人因工程評估不足,雙人搬運+搬運輔具,否,失能傷害1件,示範用
