案號,客戶名稱,料號,品名,缺陷類別,缺陷描述,推測原因,對應措施,狀態,回覆期限,負責人
RMA-2025-001,客戶A(半導體),GT-TIM-3050,導熱介面材料 3.0W,外觀缺陷,表面有異物附著,包裝破損導致污染,更換包裝材料，加強出貨前目視,已結案,2025-01-15,王品保
RMA-2025-002,客戶B(電動車),GT-HSK-200S,散熱模組 200W,功能異常,導熱阻值超標,原材料批次變異,聯繫供應商，重新驗收原材料,進行中,2025-01-20,陳品保
RMA-2025-003,客戶C(伺服器),GT-VC-120,均溫板 120×80mm,尺寸異常,厚度超差±0.1mm,模具磨耗,模具維修，追加首件確認,已結案,2025-01-22,李品保
RMA-2025-004,客戶D(通訊),GT-HS-060A,散熱片 60×60mm,外觀缺陷,陽極處理色差,陽極槽液濃度偏低,調整槽液，加強首批確認,已結案,2025-01-28,王品保
RMA-2025-005,客戶E(工控),GT-PAD-15W,導熱墊 1.5mm,功能異常,導熱係數低於規格,材料批次差異,重工挑選，供應商矯正,進行中,2025-02-05,張品保
RMA-2025-006,客戶A(半導體),GT-TIM-3050,導熱介面材料 3.0W,數量異常,少料5片,點料流程疏失,更新點料SOP，導入二次確認,已結案,2025-02-10,陳品保
RMA-2025-007,客戶F(消費電子),GT-TEC-040,致冷晶片 40W,功能異常,最大電流低於規格,晶片焊接不良,重工焊接，製程參數調整,進行中,2025-02-15,李品保
RMA-2025-008,客戶G(醫療),GT-EMI-080,電磁波吸收材,外觀缺陷,裁切毛邊過大,刀具磨耗,更換刀具，設定換刀週期,已結案,2025-02-18,王品保
RMA-2025-009,客戶B(電動車),GT-HP-300,熱導管 6mm×300mm,功能異常,熱阻測試不合格,充灌量不足,調整充灌製程，增加全檢,進行中,2025-02-25,張品保
RMA-2025-010,客戶H(航太),GT-VC-240,均溫板 240×160mm,外觀缺陷,表面劃傷,運輸防護不足,增加防護紙，改善包裝設計,已結案,2025-03-01,陳品保
RMA-2025-011,客戶C(伺服器),GT-HS-120B,散熱片 120×60mm,文件異常,出貨文件錯誤,人工填寫失誤,導入系統自動帶入，複核機制,已結案,2025-03-05,李品保
RMA-2025-012,客戶I(EV充電),GT-PAD-30W,導熱墊 3.0mm,功能異常,介電強度不足,原材料批次問題,退換原材料，補充備用庫存,進行中,2025-03-12,王品保
