節點代碼,節點名稱,T-天數,說明,負責人角色,前置依賴節點,輸出物/交付品,注意事項
E01,確認參展意願與目標,90,決定是否參展、設定攤位目標（曝光/潛客/品牌）,行銷主管,—,參展決策備忘,須於報名截止前90天確認
E02,完成展覽報名與繳費,85,填寫主辦單位線上報名表、繳交訂金,行銷專員,E01,報名確認函、收據,確認攤位號、付款截止日
E03,提交簽呈並取得預算核准,80,填寫簽呈含：攤位費/大圖/運費/人員出差費,行銷主管,E02,核准簽呈（SQ 單號）,預算需含10%預備金
E04,確認攤位平面圖與設計需求,70,確認攤位尺寸（3m×3m等）、電力需求、家具,行銷專員,E02,攤位平面圖（CAD）,家具租借截止日通常T-60
E05,委外大圖設計並提交初稿,60,設計公司接收品牌素材、產品圖、賣點文案,設計廠商/行銷,E04,大圖初稿（AI/PDF）,大圖尺寸以主辦單位規格為準（通常含出血3mm）
E06,大圖確稿與送印,45,確認大圖後交印刷廠輸出，含運費確認,行銷專員,E05,確稿版大圖（已簽名）,輸出解析度需≥72dpi（展覽用），加工時間約10天
E07,完成展品清單與打包規劃,30,列出展示樣品（型號/數量）、DM/禮品/工具,行銷+業務,E04,展品清單.xlsx,注意航空/海運各有限重與尺寸限制
E08,委託貨運公司報價與訂艙,28,提供展品清單、尺寸重量，取得貨運報價,行銷專員,E07,貨運報價單,國際展須預留海運約25天，航空5天
E09,展品出貨與報關,20,打包展品寄出，確認關務文件（出口報關）,行銷+貨運商,E08,出口報單、提單（B/L）,附商業發票（Commercial Invoice）給貨運商
E10,展前人員出差安排,14,訂機票/飯店、申辦簽證（境外展）、差旅簽呈,行銷主管,E03,機票/飯店確認信,國際展簽證申請須提早30天以上
E11,準備展場佈置素材,7,確認攜帶物：DM/名片/展示品/工具箱/接待話術SOP,行銷全員,"E06,E07",佈置物清單（已勾選）,攤位工具箱含：美工刀/雙面膠/延長線/筆電
E12,抵達展場佈置,1,依主辦商進場時間佈置攤位、測試電力與螢幕,行銷+業務,E11,攤位完成照片（存檔）,佈置時間通常為展覽前一天下午~晚間
E13,展覽執行（D+1至D+N）,0,展覽期間接待、收集名片、填寫潛客記錄表,行銷+業務,E12,每日潛客名單.xlsx,每日結束後填寫當日接觸客戶數與重要對話
E14,展後撤場與運回,N+1,拆除展品、委託貨運回台、確認展品清點,行銷專員,E13,撤場清單（已勾選）,確認所有租借家具歸還，避免逾期費用
E15,展後報告與預算結算,N+14,彙整潛客資料、撰寫展後報告、完成預算核銷,行銷主管,E14,展後報告.docx；預算核銷單,對比展前目標vs實際成效（潛客數/媒體曝光）
