條款類型,條款名稱,標準條款摘要,東元慣用版本要點,紅旗條款警示,修訂建議
商業條款,付款條件,簽約金 + 進度款 + 完工驗收款 + 保固保留款,簽約 30% + 出貨/到貨 50% + 驗收 15% + 保留 5%,完工後 90 天才付款；無進度款；保留款超過 10%,爭取縮短帳期或提高進度款比例
商業條款,罰則 / 遲延,每延遲一日扣款,每日扣 0.05% 上限 5%,每日扣 0.5% 或無上限,明定不可抗力豁免條款
商業條款,履約保證,簽約時提交保證金或保函,5% 履約保證,10% 以上履約保證、現金保證,改用銀行保函降低資金壓力
商業條款,驗收條件,性能驗收標準,出力 ≥ 設計值 95%、可用率 ≥ 98%,出力 ≥ 100%、可用率 ≥ 99.5%,確認驗收條件可達成
技術條款,技術規格,設備技術規格與替代規定,等同等級替代品需業主同意,禁止任何替代品、必須指定品牌,保留替代彈性以因應斷貨
技術條款,保固期限,設備保固年限,主機 2 年 / 電池 5 年（含容量保證 80%）,主機 5 年以上、電池 10 年以上,釐清保固範圍與責任界定
技術條款,性能保證,全壽期出力衰減保證,"電池循環壽命 6,000 次",全壽期出力衰減 < 1%/年,確認性能保證與責任金
法務條款,智財權,設計成果與專利歸屬,業主擁有結果、東元保留方法論,業主擁有所有衍生智財,保留 know-how 不外流
法務條款,保密條款,雙方資訊保密義務,雙向保密 3 年,單向保密、永久不過期,改為雙向、明定期限
法務條款,不可抗力,天災、罷工、戰爭等情況豁免,標準不可抗力定義,不含疫情、政策變動、原物料漲價,擴充不可抗力定義範圍
法務條款,終止條款,任一方終止合約的條件,重大違約催告 30 日後可終止,業主可隨時無條件終止,明定東元的損失補償機制
風險條款,保險要求,工程保險、第三人責任險,EAR/CAR + 1 億責任險,業主額外要求 5 億以上保險,釐清保險成本是否內含於報價
風險條款,爭議解決,管轄法院或仲裁機構,中華仲裁協會、台北,業主指定海外法院或仲裁地,爭取本國管轄與仲裁
風險條款,稅務條款,稅金負擔歸屬,業主負擔營業稅、東元負擔關稅,東元負擔所有稅費,明確劃分稅務責任
