產品編號,品牌,產品名稱,產地,海拔,品種,處理法,烘焙度,主要風味,建議沖煮溫度,建議粉水比,保存期限,庫存狀態
DK-001,豆香洞 Tokado,衣索比亞 西達摩,衣索比亞,1900,Heirloom,水洗,淺焙,花香 檸檬 茉莉,92°C,1:15,180 天,有
DK-002,豆香洞 Tokado,瓜地馬拉 安提瓜,瓜地馬拉,1500,Bourbon,水洗,中淺焙,巧克力 焦糖 堅果,92°C,1:15,180 天,有
IK-001,いつか珈琲屋,巴拿馬 翡翠莊園 藝伎,巴拿馬,1600,Geisha,水洗,淺焙,茉莉 佛手柑 蜂蜜,90°C,1:16,90 天,有
PP-001,豆ポレポレ,肯亞 涅里 AA,肯亞,1700,SL28,水洗,淺中焙,黑醋栗 番茄 葡萄柚,92°C,1:15,180 天,有
ML-001,Mel Coffee,印尼 曼特寧 Tim Tim,印尼,1300,Tim Tim,濕剝法,中深焙,煙燻 香料 黑巧,93°C,1:14,180 天,有
NZ-001,NOZY COFFEE,哥倫比亞 慧蘭,哥倫比亞,1700,Caturra,蜜處理,淺中焙,紅蘋果 焦糖 太妃糖,92°C,1:15,180 天,有
RB-001,Rootopia Brew,日月潭紅玉紅茶,南投魚池,700,台茶 18 號,全發酵,-,薄荷 肉桂 蜜香,90°C,1:50,365 天,有
RB-002,Rootopia Brew,阿里山金萱烏龍,嘉義阿里山,1400,金萱,半發酵,-,牛奶香 花香 甘甜,85°C,1:50,365 天,有
RB-003,Rootopia Brew,凍頂烏龍 春摘,南投鹿谷,800,青心烏龍,半發酵,-,蘭花香 焙火 回甘,90°C,1:50,365 天,有
RB-004,Rootopia Brew,東方美人 蜜香,新北坪林,600,青心烏龍,重發酵,-,蜂蜜 龍眼 熟果,85°C,1:50,365 天,有
