廠商編號,承攬商,作業類別,營業登記,勞保證明,公共意外險,施工人員證照,危害告知,風險評級,審查狀態,備註
V-01,宏昇機電,電氣維修,有效,有效,保額500萬有效,甲級電匠有效,已簽,低,通過,示範用
V-02,大有營造,廠房修繕,有效,有效,保額1000萬有效,營造業登記有效,已簽,中,通過,示範用
V-03,勁泰空調,空調保養,有效,已過期,保額300萬有效,冷凍空調證照有效,已簽,中,待補件,勞保證明過期
V-04,昌記吊車,起重吊掛,有效,有效,保額800萬有效,固定式起重機操作證有效,已簽,高,通過,示範用
V-05,綠淨環保,廢棄物清運,有效,有效,保額500萬有效,清除許可證即將到期,未簽,高,不通過,許可即將到期且未簽危害告知
V-06,明陽防水,屋頂防水(高架),有效,有效,保額600萬有效,高架作業主管有效,已簽,高,通過,示範用
V-07,台興消防,消防設備,有效,有效,保額500萬有效,消防設備士有效,已簽,中,通過,示範用
V-08,永固搬運,物料搬運,有效,有效,保額200萬偏低,堆高機操作證有效,已簽,中,待補件,公共意外險保額不足
V-09,金電工程,配電工程,已過期,有效,保額500萬有效,甲級電匠有效,已簽,高,不通過,營業登記過期
V-10,新和清潔,環境清潔,有效,有效,保額300萬有效,無需特殊證照,已簽,低,通過,示範用
V-11,泰山機械,機台安裝,有效,有效,保額700萬有效,乙級機械證照有效,未簽,中,待補件,未完成危害告知
V-12,華光焊接,金屬焊接(動火),有效,有效,保額600萬有效,動火作業許可+證照有效,已簽,高,通過,示範用
