標準型號,產品類別,規格描述,馬力,極數,額定電壓,防護等級,適用產業,庫存狀態,標準交期(週)
AESV2-IE3-005,三相感應馬達,鑄鐵殼 IE3,5 HP,4P,380V/440V,IP55,一般工業,現貨,2
AESV2-IE3-010,三相感應馬達,鑄鐵殼 IE3,10 HP,4P,380V/440V,IP55,一般工業,現貨,2
AESV2-IE3-020,三相感應馬達,鑄鐵殼 IE3,20 HP,4P,380V/440V,IP55,一般工業,現貨,2
AESV5-IE5-010,三相感應馬達,高效節能 IE5,10 HP,4P,380V/440V,IP55,半導體、ESG 客戶,備料,4
AESV5-IE5-050,三相感應馬達,高效節能 IE5,50 HP,4P,380V/440V,IP55,半導體、ESG 客戶,備料,6
AEXD-IIB-030,防爆型馬達,EXd IIB T4,30 HP,4P,380V/440V,IP66,石化、能源,客製,8
AEXD-IIB-100,防爆型馬達,EXd IIB T4,100 HP,4P,660V,IP66,石化、能源,客製,10
GR-W-025,蝸桿減速機,標準輸出軸,2.5 HP,-,-,IP54,食品、包裝,現貨,1
GR-H-150,斜齒輪減速機,重型負載,15 HP,-,-,IP54,鋼鐵、礦業,備料,4
INV-G-022,變頻器,通用型 IP20,2 HP,-,380V,IP20,一般工業,現貨,1
INV-G-150,變頻器,通用型 IP20,15 HP,-,380V,IP20,一般工業,現貨,1
INV-V-075,變頻器,高階向量型,7.5 HP,-,380V,IP20,工具機、機器人,備料,3
SVR-A-1KW,伺服馬達,標準型,1 kW,-,200V,IP65,自動化,備料,4
SVR-A-3KW,伺服馬達,標準型,3 kW,-,200V,IP65,自動化,備料,4
BLW-CF-200,離心鼓風機,葉輪 200mm,200 HP,-,380V,IP55,汙水、氣體,客製,12
MCC-IP31-65kA,MCC 配電盤,IEC 61439 / 65kA,-,-,380V/440V,IP31,工廠配電,客製,10
