估算項目代碼,估算項目名稱,適用案件類型,計算單位,計算公式,參考值區間,備註
EST-DESIGN-01,設計費（系統設計）,太陽能 EPC,%,系統容量 × 0.5%,0.4-0.6%,依案件複雜度調整
EST-DESIGN-02,設計費（系統設計）,ESS,%,案件總額 × 1.5-2.5%,1.5-2.5%,需含 EMS 整合
EST-EQUIP-01,設備採購費,太陽能 EPC,NTD/W,系統容量(W) × 25-32 NTD,25-32 NTD/W,含模組/PCS/支架/電纜
EST-EQUIP-02,電池櫃成本,ESS,NTD/kWh,"系統容量(kWh) × 12,000-18,000",12-18k/kWh,受電池漲跌影響大
EST-INSTALL-01,施工安裝費,太陽能 EPC,%,設備費 × 30-40%,30-40%,含結構/併網
EST-INSTALL-02,施工安裝費,ESS,%,設備費 × 20-30%,20-30%,含基礎/吊裝
EST-PERMIT-01,申設與併網費,太陽能 EPC,lump sum,"案件規模 × 50,000-150,000 NTD/MW",50-150k/MW,依台電審查時程
EST-PROJMGT-01,專案管理費,全部,%,案件總額 × 4-6%,4-6%,Project Management
EST-WARRANTY-01,保固保留款,全部,%,案件總額 × 5-10%,5-10%,依合約條款
EST-CONTING-01,預備金,全部,%,案件總額 × 3-5%,3-5%,風險預備
EST-MARGIN-01,目標毛利,標準案,%,標準成本 × 12-18%,12-18%,依競爭強度
EST-MARGIN-02,目標毛利,高風險案,%,標準成本 × 18-25%,18-25%,客製化、海外
EST-FX-01,匯率風險加成,外幣案,%,外幣金額 × 3-5%,3-5%,鎖匯成本
EST-INSURANCE-01,工程保險,全部,%,案件總額 × 0.3-0.6%,0.3-0.6%,EAR/CAR 保險
