店號,店名,區域,縣市,店型,開店年月,商圈類型,坪數,員工數,店長年資(年)
S001,台北信義旗艦店,北區,台北市,旗艦店,2018-03,百貨商圈,120,8,5
S002,台北南京門市,北區,台北市,標準店,2020-06,辦公商圈,65,5,3
S003,新北板橋門市,北區,新北市,標準店,2019-11,車站商圈,75,5,4
S004,桃園藝文門市,北區,桃園市,社區店,2021-09,新興社區,50,4,2
S005,新竹巨城門市,北區,新竹市,標準店,2020-02,百貨商圈,70,5,3
S006,台中七期門市,中區,台中市,旗艦店,2017-08,百貨商圈,110,8,6
S007,台中逢甲門市,中區,台中市,標準店,2022-04,夜市商圈,55,4,1
S008,彰化員林門市,中區,彰化縣,社區店,2019-05,市區社區,45,3,4
S009,南投草屯門市,中區,南投縣,社區店,2020-11,新興社區,40,3,2
S010,台南南紡門市,南區,台南市,標準店,2021-03,百貨商圈,70,5,2
S011,台南東區門市,南區,台南市,社區店,2018-12,市區社區,55,4,5
S012,高雄夢時代門市,南區,高雄市,旗艦店,2016-10,百貨商圈,115,8,7
S013,高雄大昌門市,南區,高雄市,標準店,2021-07,車站商圈,65,5,2
S014,屏東勝利門市,南區,屏東縣,社區店,2019-09,市區社區,50,4,4
S015,宜蘭羅東門市,東區,宜蘭縣,社區店,2022-08,市區社區,45,3,1
