訂單編號,客戶名稱,活動名稱,活動日期,報價狀態,訂金狀態,執行狀態,發票狀態,合約狀態,最後更新日,備註
EV2026001,新光三越文教基金會,2026夏日這夏有木憩,2026-07-15,已確認,已收(50%),未執行,未開立,已簽回,2026-05-10,80人
EV2026002,屏東縣林業及自然保育署,FSC驗證林體驗,2026-06-20,已確認,已收(100%),未執行,未開立,已簽回,2026-05-15,公部門案
EV2026003,新竹光華國中,木育課程推廣,2026-05-30,已確認,未收,未執行,未開立,未回收,2026-04-28,需追訂金
EV2026004,里仁公司,聽繪本玩木頭,2026-05-05,已確認,已收(100%),已完成,未開立,已簽回,2026-05-08,需開發票
EV2026005,勤美0km山物所,木的N次方一日學旅,2026-04-20,已確認,已收(100%),已完成,已開立,已簽回,2026-04-25,已結案
EV2026006,新竹分署,人工林永續體驗,2026-08-10,已確認,未收,未執行,未開立,未回收,2026-05-12,大案
EV2026007,光之島文化基金會,華山特展執行,2026-06-30,已確認,已收(50%),未執行,未開立,已簽回,2026-05-01,
EV2026008,某科技公司ESG部,森林碳匯體驗,2026-07-08,報價中,未收,未執行,未開立,未簽,2026-05-18,等回覆
EV2026009,宜蘭綠色博覽會,六足蟲蟲體驗,2026-04-15,已確認,已收(100%),已完成,未開立,已簽回,2026-04-18,需開發票
EV2026010,某國小,半日森林觀察,2026-05-12,已確認,已收(50%),已完成,未開立,已簽回,2026-05-13,需追尾款與發票
