工單號,品號,品名,規格,計畫開始日,計畫完成日,計畫產量(pcs),實際完成量(pcs),工單狀態,產線別,優先等級,客戶訂單號
WO-2026-0101,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-01-03,2026-01-10,500,500,已完工,Line-1,一般,PO-2025-0088
WO-2026-0105,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-01-06,2026-01-13,300,300,已完工,Line-1,一般,PO-2025-0092
WO-2026-0110,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-01-10,2026-01-18,400,400,已完工,Line-2,緊急,PO-2025-0095
WO-2026-0115,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-01-15,2026-01-22,350,350,已完工,Line-1,一般,PO-2026-0001
WO-2026-0120,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-01-20,2026-01-28,500,498,已完工,Line-2,一般,PO-2026-0005
WO-2026-0125,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-01-25,2026-02-03,450,448,已完工,Line-1,一般,PO-2026-0008
WO-2026-0201,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-02-03,2026-02-12,600,595,已完工,Line-2,緊急,PO-2026-0012
WO-2026-0215,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-02-15,2026-02-24,400,400,已完工,Line-1,一般,PO-2026-0018
WO-2026-0301,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-03-01,2026-03-10,500,0,未完工,Line-1,緊急,PO-2026-0022
WO-2026-0310,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-03-10,2026-03-20,350,0,未完工,Line-2,一般,PO-2026-0025
WO-2026-0320,A035,散熱模組A035,80x60x25mm 銅底鋁鰭,2026-03-20,2026-03-30,400,0,未完工,Line-1,一般,PO-2026-0030
WO-2026-0401,YT-TG-2015-05,英騰導熱膏,5.0W/mk 15g,2026-04-01,2026-04-08,600,0,未完工,Line-3,一般,PO-2026-0033
WO-2026-0405,KB-TG-5015-10,高柏導熱膏,5.0W/mk 15g,2026-04-05,2026-04-12,800,0,未完工,Line-3,緊急,PO-2026-0035
