機台編號,最後生產料號,料號品名,生產日期,規格_厚度mm,規格_尺寸mm,導熱係數_W/mK,備註
WC-101,TIM-001-A,導熱矽膠片A,2026-06-10,1.0,100x100,3.0,
WC-102,TIM-002-B,導熱墊片B,2026-06-12,0.5,50x50,4.0,小尺寸
WC-103,VAP-003,均溫板C,2026-06-11,1.5,150x120,—,銅材
WC-104,GRP-004,石墨導熱片,2026-06-09,0.1,200x200,800.0,面向導熱
WC-105,TIM-005,導熱膠帶E,2026-06-13,0.2,300x200,1.5,
WC-106,TPC-006,相變材料F,2026-06-08,0.5,100x80,6.5,高導熱
WC-107,FIN-007,散熱片G,2026-06-14,2.0,250x180,—,鋁擠型
WC-108,COP-008,銅導熱片H,2026-06-07,0.3,300x200,380.0,
WC-109,HEP-009,熱管I,2026-06-13,6mm管徑,200L,—,焊接
WC-110,TIM-010,矽膠片J固化,2026-06-15,1.5,150x100,3.5,烘烤後
WC-111,TPC-011,相變點膠K,2026-06-12,—,50x30,5.0,點膠量0.2g
WC-112,GRP-012,石墨精切L,2026-06-11,0.1,100x80,750.0,雷射切
WC-113,CMC-013,金屬基板M,2026-06-10,2.0,150x100,—,
WC-114,TEC-014,致冷晶片N,2026-06-09,3.9,40x40,—,
WC-115,EMI-015,吸收材O,2026-06-08,1.0,200x150,—,EMI
