員工代號,部門,職等,在職年資(月),近3月平均出勤率(%),近1月加班時數,最近考核等級,最近考核分數,薪資調幅_最近一次(%),主管換人次數_2年內,近6月請假天數,參與培訓次數_半年,敬業度問卷分數(1-5),同仁關係問卷分數(1-5),發展機會問卷分數(1-5),"離職意願問卷分數(1-5,5最高)",離職風險標記(HR判斷),備註
EMP-001,製造部,S3,36,96,8,B,78,3.0,1,4,2,3.8,4.0,3.2,2.0,低,示範用
EMP-002,業務處,S4,18,88,22,B,72,0.0,2,9,1,2.9,3.1,2.1,4.2,高,示範用；加班過多、未調薪、發展機會低
EMP-003,研發部,S5,60,99,5,A,88,5.0,0,2,4,4.5,4.3,4.1,1.2,低,示範用
EMP-004,品保部,S3,12,91,15,C,62,0.0,1,7,0,2.5,2.8,1.9,4.8,高,示範用；試用後績效差、敬業度低
EMP-005,財管部,S4,48,98,3,A,91,4.5,0,1,3,4.2,4.5,3.8,1.5,低,示範用
EMP-006,製造部,S2,8,85,18,B,70,0.0,2,11,1,2.7,3.0,2.2,3.9,中,示範用；新人、出勤不穩
EMP-007,業務處,S5,30,97,7,S,95,7.0,0,3,5,4.7,4.6,4.4,1.0,低,示範用；高績效員工
EMP-008,資訊部,S4,24,93,12,B,75,2.0,3,5,2,3.1,3.4,2.6,3.5,中,示範用；主管頻繁更換
EMP-009,人資部,S3,14,90,10,B,73,0.0,1,8,1,2.8,3.2,2.3,4.0,中,示範用
EMP-010,研發部,S6,84,98,4,S,97,6.0,0,1,6,4.8,4.7,4.6,1.1,低,示範用；資深研發，留任核心
EMP-011,製造部,S3,9,78,25,C,58,0.0,2,14,0,2.1,2.5,1.7,4.9,高,示範用；出勤最差、績效C、加班多
EMP-012,業務處,S4,42,95,9,A,84,4.0,1,3,3,4.0,3.9,3.5,2.2,低,示範用
