客戶代碼,客戶名稱,品號,品名,規格,幣別,標準單價,促銷單價,有效起日,有效迄日,業務負責人,報價備註
C001,Bostitch USA,EW-T50-15GA,氣動釘槍 T50 15GA,15GA Brad,USD,128.50,125.00,2026-01-01,2026-12-31,柏瑋,大客戶 5000+ 量價
C001,Bostitch USA,EW-N16P-S,直釘 N16 系列,16GA 50mm,USD,18.75,17.80,2026-01-01,2026-06-30,柏瑋,促銷期間優惠
C002,BeA Germany,EW-3000-Pro,專業氣動打釘槍 3000,T-Nail 3.1mm,EUR,142.00,138.00,2026-03-01,2026-08-31,Jenny,Q2 促銷
C002,BeA Germany,EW-PT900,氣動鋼釘槍 900,Pin 0.9mm,EUR,98.50,95.00,2026-01-01,2026-12-31,Jenny,長期合約價
C003,MAX Japan,EW-NT65-J,結構釘槍 NT65,16GA Finish,JPY,15800,15500,2026-04-01,2026-09-30,Daisy,日本市場專案
C004,Senco Distributor,EW-FN90,完成釘槍 FN90,15GA Finish,USD,116.00,113.50,2026-02-01,2026-07-31,柏瑋,新客戶開發價
C005,Paslode AU,EW-IM250-A,瓦斯打釘槍 IM250,Gas + Brad,AUD,168.00,165.00,2026-01-01,2026-12-31,Allen,澳洲區獨家代理
C006,Hilti EU,EW-DX5,直接緊固系統 DX5,DX 系列,EUR,210.00,205.00,2026-03-01,2026-08-31,Jenny,Hilti 共同行銷
C007,Stanley CA,EW-BS5,釘書機 BS5,Office Use,CAD,55.00,52.50,2026-01-01,2026-12-31,Allen,長期合約
C008,Makita SEA,EW-AN923,空氣壓縮釘槍,Coil Nail,USD,135.00,132.00,2026-02-15,2026-08-15,Daisy,東南亞市場
C009,DeWalt UK,EW-DCN660,無線釘槍 DCN660,Battery 18V,GBP,178.00,175.00,2026-01-01,2026-12-31,柏瑋,英國總代理
C010,Hitachi LATAM,EW-NR90AE,框架釘槍 NR90,Framing 90mm,USD,148.00,145.00,2026-03-01,2026-09-30,Allen,拉美獨家
C011,Ryobi NZ,EW-P325,18V 釘槍 P325,Cordless 18V,NZD,95.00,92.00,2026-01-01,2026-06-30,Daisy,紐西蘭區域促銷
C012,Porter Cable,EW-FN250,完成釘槍 FN250,Finish 16GA,USD,110.00,108.00,2026-04-01,2026-12-31,Jenny,北美補貨單
C013,Bostitch USA,EW-COIL90,捲釘 90mm,Coil 90mm,USD,42.00,41.00,2026-01-01,2026-12-31,柏瑋,大客戶配件
