料號,品名,訂單需求數,桶裝庫存_成品,桶裝庫存_半成品,已排產數,淨需生產數,備註
TIM-001-A,導熱矽膠片1.0mm,5000,500,800,2000,1700,已部分生產
VAP-003,均溫板150x120,200,0,20,100,80,半成品可用
GRP-004,石墨片200x200,1000,0,0,500,500,無庫存
TPA-005,導熱膠帶300x200,2000,300,0,1200,500,成品庫存300
FIN-007,散熱片250x180,800,0,0,0,800,尚未排產
TPC-006,相變材料,500,0,50,300,150,半成品50
HEP-009,熱管φ6x200,300,0,0,300,0,已全排
EMI-015,電磁波吸收材,600,0,0,400,200,部分排
TIM-002-B,導熱墊片0.5mm,3000,1000,500,0,1500,庫存充裕
TEC-014,致冷晶片40x40,150,0,0,150,0,已全排
CMC-013,金屬基板,100,0,0,0,100,未排
GRP-012,石墨精切100x80,2000,200,0,2000,-200,庫存200可直出
