報工日期,班別,站別,機台編號,料號,品名,報工數量,良品數,不良品數,不良品代碼,操作員,備註
2026-06-15,早班,切割站,WC-101,TIM-001-A,導熱矽膠片,800,780,20,D-03,作業員甲,
2026-06-15,早班,壓合站,WC-103,VAP-003,均溫板,50,48,2,D-01,作業員乙,
2026-06-15,早班,沖壓站,WC-107,FIN-007,散熱片,300,295,5,D-02,作業員丙,
2026-06-15,午班,切割站,WC-101,TIM-001-A,導熱矽膠片,850,845,5,D-03,作業員丁,
2026-06-15,午班,塗布站,WC-105,TPA-005,導熱膠帶,400,392,8,D-04,作業員戊,
2026-06-15,午班,壓合站,WC-104,GRP-004,石墨片,200,198,2,D-01,作業員己,
2026-06-15,晚班,切割站,WC-102,TIM-002-B,導熱墊片,600,596,4,D-03,作業員庚,
2026-06-15,晚班,壓合站,WC-103,VAP-003,均溫板,45,44,1,D-01,作業員辛,
2026-06-15,晚班,沖壓站,WC-108,COP-008,銅導熱片,250,248,2,D-02,作業員壬,
2026-06-14,早班,點膠站,WC-111,TPC-011,相變點膠,300,297,3,D-05,作業員癸,
2026-06-14,午班,雷射切,WC-112,GRP-012,石墨精切,500,498,2,D-06,作業員甲,
2026-06-14,晚班,EMI站,WC-115,EMI-015,吸收材,200,199,1,D-07,作業員乙,
