料號,品名,類別,規格,認證,應用領域,建議售價區間,庫存狀態,最小起訂量,交期
PROD-A-001,高效率變壓器 12V/5A,變壓器,12V/5A 尺寸50×40×25mm,UL/CE/AEC-Q200,車用/工業,NT$280-320,充足,100 pcs,2 週
PROD-A-002,高效率變壓器 24V/3A,變壓器,24V/3A 尺寸55×42×28mm,UL/CE,工業/醫療,NT$310-350,充足,100 pcs,2 週
PROD-A-003,小型變壓器 12V/2A,變壓器,12V/2A 尺寸40×30×20mm,UL/CE/AEC-Q200,車用/消費,NT$180-220,充足,200 pcs,1 週
PROD-B-001,LED 模組 高亮度白光,LED 模組,5000K 1000lm,UL/RoHS,商業照明/工業,NT$120-150,充足,500 pcs,2 週
PROD-B-003,LED 模組 RGB,LED 模組,RGB 全彩 1500lm,UL/RoHS/CE,景觀/廣告,NT$280-320,充足,200 pcs,3 週
PROD-C-001,工業電腦主機板 ATX,主機板,ATX 標準 含 PCIe,UL/CE/FCC,工業/自動化,NT$3800-4500,充足,10 pcs,3 週
PROD-D-001,Wi-Fi 6 路由模組,通訊模組,Wi-Fi 6 雙頻,FCC/CE/NCC,寬頻/IoT,NT$680-780,充足,100 pcs,3 週
PROD-E-001,溫度感測器,感測器,-40~125°C 高精度,UL/CE/AEC-Q100,車用/工業,NT$80-120,充足,1000 pcs,1 週
PROD-F-001,工業電源供應器 12V/100W,電源,12V/100W 寬溫,UL/CE/FCC,工業/自動化,NT$580-680,充足,100 pcs,2 週
PROD-F-002,儲能電池模組 48V,電池,48V/10kWh 鋰電,UL/CE/IEC 62619/UN 38.3,儲能/再生能源,NT$48000-58000,充足,5 pcs,4 週
