資料ID,資料類型,檔名,所屬專案,日期,所屬部門,檔案路徑,鏈結ID
DOC-2026-001,合約,LFA_新竹分署_115年滿月圓委託案_合約.pdf,PROJ-2026-001,2026-01-15,行政,/Drive/合約/2026/,DOC-2026-002
DOC-2026-002,報價單,LFA_115滿月圓_估價單.xlsx,PROJ-2026-001,2026-01-10,行政,/Drive/報價單/2026/,DOC-2026-001
DOC-2026-003,期初報告,115滿月圓_期初報告.docx,PROJ-2026-001,2026-03-14,知識管理,/Drive/報告/2026/,DOC-2026-001
DOC-2026-004,合約,新光三越文教基金會_合約.pdf,PROJ-2026-002,2026-04-20,行政,/Drive/合約/2026/,DOC-2026-005
DOC-2026-005,活動紀錄,EV2026001_活動紀錄.docx,PROJ-2026-002,2026-07-15,教育,/Drive/活動/2026/,DOC-2026-006
DOC-2026-006,成果照片夾,EV2026001_照片/,PROJ-2026-002,2026-07-15,教育,/Drive/照片/2026/,DOC-2026-005
DOC-2026-007,公文,LFA函_115年滿月圓案期初報告陳送.pdf,PROJ-2026-001,2026-03-18,行政,/Drive/公文/2026/,DOC-2026-003
DOC-2026-008,問卷分析,EV2026001_問卷分析報告.xlsx,PROJ-2026-002,2026-07-22,教育,/Drive/問卷/2026/,DOC-2026-005
DOC-2026-009,合約,屏東林業及自然保育署_FSC案.pdf,PROJ-2026-005,2026-04-01,行政,/Drive/合約/2026/,
DOC-2026-010,提案簡報,某科技公司_ESG提案.pptx,PROJ-2026-008,2026-05-15,行銷,/Drive/提案/2026/,
