案例編號,客戶名稱,產業,觸發訊號類型,發案年月,切入產品線,預估金額NTD,結果,備註
OP-2023-001,上銀科技,工具機,新廠擴建（嘉義廠）,2023-03,三相感應馬達 IE3,"3,200,000",得標,原供應商交期過長，東元在地優勢
OP-2023-007,台積電竹科 P3,半導體設備,新建廠採購清單外洩,2023-06,高效節能型 IE5,"12,500,000",得標,ESG 議題助攻
OP-2023-014,中油大林廠,石化,LNG 接收站招標公告,2023-11,防爆型馬達 + 配電盤,"8,700,000",得標,與中鼎合作
OP-2024-002,統一企業楊梅,食品,產線升級資訊,2024-01,減速機 + 變頻器,"1,800,000",得標,整合方案勝出
OP-2024-009,中鋼大煉鋼廠,鋼鐵,舊設備故障,2024-04,斜齒輪減速機,"5,400,000",失單,Flender 用既有合約搶下
OP-2024-018,永信藥品,製藥,中央空調汰換,2024-07,變頻器 + 鼓風機,"2,900,000",得標,GMP 認證加分
OP-2024-022,台達電桃園,電子組裝,SMT 線新建,2024-09,伺服馬達 + PLC,"4,600,000",得標,本地技術服務勝出
OP-2025-001,華新麗華,鋼鐵,EAF 電弧爐升級,2025-01,PLC 整廠控制,"6,300,000",中性,對手三菱仍有合約綁定
OP-2025-005,新北八里汙水廠,環境工程,汙水處理設備招標,2025-02,鼓風機,"3,800,000",得標,環境工程局直接採購
OP-2025-011,台塑麥寮六輕,石化,六接 LNG 擴建配電,2025-04,MCC 配電盤,"9,200,000",得標,與中鼎聯盟
OP-2025-018,鴻海高雄半導體,半導體,新建廠籌備,2025-08,高效馬達 + 變頻器,"15,000,000",進行中,高層拜訪中
OP-2025-023,彰化離岸風場 W3,再生能源,風機更換,2025-09,風力發電機 雙饋型,"120,000,000",進行中,技術評選階段
