店號,商圈密度(間/平方公里),競品店數(2km內),平均日客流(人),月租金(萬NTD),主要客層,商圈成熟度,近一年商圈變化
S001,高(>50),8,"12,000",85,上班族＋觀光客,成熟,穩定，無重大變化
S002,高(>50),5,"8,500",65,上班族,成熟,新開咖啡店密集，午餐流分流
S003,中(20-50),6,"9,800",55,上班族＋家庭,成熟,板橋小遠百改裝，部分客流回流
S004,低(<20),3,"4,200",32,新婚家庭,新興,新建案陸續入住，客流上升中
S005,中(20-50),4,"7,200",48,家庭＋學生,成熟,巨城周邊餐飲擴張，週末客流上升
S006,高(>50),7,"13,500",92,中高階白領,成熟,新光三越改裝，影響 1 季
S007,中(20-50),5,"6,500",42,學生＋觀光客,成熟,夜市人流降低 15%（疫情後遺）
S008,低(<20),2,"3,500",22,在地居民,成熟,穩定
S009,低(<20),2,"3,200",20,在地居民,新興,草屯交流道附近新建廠陸續開工
S010,中(20-50),4,"8,800",55,上班族＋家庭,成熟,南紡換手，新業者促銷激烈
S011,低(<20),3,"4,800",30,在地居民,成熟,穩定
S012,高(>50),8,"14,200",88,全客層,成熟,夢時代品牌大改版，吸客力強
S013,中(20-50),5,"7,800",50,上班族,成熟,高鐵左營客流維持，無大變化
S014,低(<20),2,"3,800",22,在地居民,成熟,穩定
S015,低(<20),2,"3,200",18,在地居民,新興,羅東文化園區開幕，假日客流上升
