檢驗批號,料號,品名,CTQ項目,量測值,規格中心值,UCL,LCL,是否超出管制界限,量測日期,量測人員,備註
LOT-250301,GT-TIM-3050,導熱介面材料,導熱係數(W/mK),3.05,3.0,3.30,2.70,否,2025-03-01,李工,正常
LOT-250301,GT-TIM-3050,導熱介面材料,厚度(mm),1.02,1.0,1.08,0.92,否,2025-03-01,李工,正常
LOT-250302,GT-TIM-3050,導熱介面材料,導熱係數(W/mK),2.68,3.0,3.30,2.70,是(低於LCL),2025-03-02,李工,異常—批次偏低，調查原材料
LOT-250302,GT-TIM-3050,導熱介面材料,厚度(mm),1.01,1.0,1.08,0.92,否,2025-03-02,李工,正常
LOT-250303,GT-VC-120,均溫板,厚度(mm),3.51,3.5,3.62,3.38,否,2025-03-03,王工,正常
LOT-250303,GT-VC-120,均溫板,平坦度(mm),0.08,0.05,0.12,0,否,2025-03-03,王工,正常
LOT-250304,GT-VC-120,均溫板,熱阻(℃/W),0.32,0.30,0.40,0.20,否,2025-03-04,王工,正常
LOT-250305,GT-HS-060A,散熱片,尺寸-長(mm),60.12,60,60.20,59.80,否,2025-03-05,陳工,正常
LOT-250305,GT-HS-060A,散熱片,尺寸-寬(mm),60.05,60,60.20,59.80,否,2025-03-05,陳工,正常
LOT-250306,GT-PAD-15W,導熱墊,導熱係數(W/mK),1.48,1.5,1.65,1.35,否,2025-03-06,陳工,正常
LOT-250307,GT-PAD-15W,導熱墊,厚度(mm),1.62,1.5,1.62,1.38,是(達UCL邊界),2025-03-07,陳工,注意—連續3批趨近UCL
LOT-250308,GT-HP-300,熱導管,外徑(mm),6.02,6.0,6.12,5.88,否,2025-03-08,張工,正常
LOT-250309,GT-HP-300,熱導管,最大熱傳量(W),62.5,65,72,58,否,2025-03-09,張工,正常
LOT-250310,GT-TEC-040,致冷晶片,最大電流Imax(A),3.82,4.0,4.30,3.70,否,2025-03-10,張工,正常
LOT-250311,GT-TEC-040,致冷晶片,最大電流Imax(A),3.68,4.0,4.30,3.70,是(低於LCL),2025-03-11,張工,異常—焊接製程確認中
LOT-250312,GT-EMI-080,電磁波吸收材,厚度(mm),0.82,0.8,0.88,0.72,否,2025-03-12,林工,正常
LOT-250313,GT-EMI-080,電磁波吸收材,導磁率(相對),12.8,13.0,14.3,11.7,否,2025-03-13,林工,正常
LOT-250314,GT-HS-120B,散熱片,接觸熱阻(℃/W),0.45,0.4,0.55,0.25,否,2025-03-14,林工,正常
LOT-250315,GT-TIM-3050,導熱介面材料,導熱係數(W/mK),2.71,3.0,3.30,2.70,否,2025-03-15,李工,剛好超LCL邊界，追蹤
LOT-250316,GT-VC-240,均溫板,熱阻(℃/W),0.28,0.25,0.35,0.15,否,2025-03-16,王工,正常
