課程編號,課程名稱,課程類別,適用職等,適用職能缺口,授課方式,時數,費用(NT$),開課頻率,平台/講師,課程摘要
TRN-001,SolidWorks 機構設計進階,技術技能,S3-S5,機構設計、3D建模,線上自學,16小時,"5,800",隨時,Udemy,涵蓋複雜組件、模擬分析及工程圖出圖，適合機構工程師精進 3D 建模效率。示範用。
TRN-002,散熱技術基礎（熱管/均溫板）,產品知識,S2-S4,散熱技術知識,內部實體,8小時,免費,每季,研發部資深工程師,介紹熱管、均溫板工作原理、製程、規格參數及客戶應用場景。示範用。
TRN-003,業務提案與簡報技巧,軟技能,S3-S6,簡報溝通、客戶談判,外部實體,12小時,"8,000",每半年,外部顧問,商業簡報架構設計、說服技巧、客戶異議處理，含現場演練。示範用。
TRN-004,Excel 進階數據分析,數位工具,S2-S5,數據分析、報表製作,線上自學,10小時,免費,隨時,公司內部 E-Learning,樞紐分析表、VLOOKUP進階應用、圖表設計，適合需處理大量報表的同仁。示範用。
TRN-005,ISO 9001:2015 內稽員訓練,品質管理,S3-S5,品質管理、稽核技能,外部實體,16小時,"12,000",每年,SGS,取得 ISO 9001 內部稽核員資格，包含稽核計畫、執行、報告撰寫。示範用。
TRN-006,英語商務寫作,語言能力,S2-S6,英語書面溝通,線上自學,20小時,"3,500",隨時,外部平台,商務 Email、報告撰寫與英語提案技巧，適合需與海外客戶往來的同仁。示範用。
TRN-007,SPC 統計製程管制,製程技能,S3-S5,SPC、製程品管,線上自學+實體,12小時,"6,500",每季,外部顧問,管制圖建立、製程能力分析 Cpk/Ppk、異常判讀，含工廠實習案例。示範用。
TRN-008,ERP 人事模組操作,系統技能,S2-S4,ERP操作、薪資作業,內部實體,6小時,免費,每年,MIS/人資,鼎新 ERP 人事考勤薪資模組操作，含常見問題排除。示範用。
TRN-009,主管職能訓練（初階管理）,管理技能,S5-S6,人員管理、目標設定,外部實體,24小時,"18,000",每年,外部講師,目標管理MBO、績效面談技巧、衝突處理，適合新晉主管。示範用。
TRN-010,ANSYS Icepak 熱模擬實務,技術技能,S4-S6,熱模擬分析,外部實體,20小時,"25,000",每半年,ANSYS原廠,CFD 熱流模擬設定、模型建立、結果解讀，含專案實作練習。示範用。
TRN-011,專案管理 PMP 備考班,管理技能,S4-S6,專案規劃、跨部門協調,外部實體,36小時,"28,000",每半年,外部 PMP 顧問,PMP 考照備考，含 PMBOK 架構、模擬題演練，完課補助 50%。示範用。
TRN-012,AI 工具應用於日常工作,數位工具,S2-S6,AI工具應用,線上自學,8小時,免費,隨時,公司內部 E-Learning,ChatGPT/Claude 提示詞技巧、文件摘要、數據解讀，適合各部門一般員工。示範用。
