料號,品名,規格,類別,現有庫存,單位,倉庫,安全庫存,在途量,預計進貨日,折扣率,折扣到期日
AL-1006,鋁線,直徑 1.0mm,線材,320,公斤,A 倉,200,500,2026-08-05,,,
AL-1208,鋁線,直徑 1.2mm,線材,180,公斤,A 倉,200,300,2026-08-15,,,
AL-1510,鋁線,直徑 1.5mm,線材,450,公斤,A 倉,200,0,,,,
CU-1006,銅線,直徑 1.0mm,線材,260,公斤,A 倉,300,400,2026-08-10,5%,2026-08-31
CU-1208,銅線,直徑 1.2mm,線材,420,公斤,B 倉,300,0,,,,
CU-1510,銅線,直徑 1.5mm,線材,180,公斤,B 倉,300,200,2026-08-20,,,
A02-1,馬達 12V/5A,12V/5A 標準型,馬達,14,組,B 倉,20,30,2026-08-05,10%,2026-08-15
A02-2,馬達 12V/3A,12V/3A 標準型,馬達,42,組,B 倉,20,0,,5%,2026-08-31
A02-3,馬達 24V/3A,24V/3A 工業型,馬達,8,組,B 倉,15,40,2026-08-12,,,
M-150-DIP,DIP 管,150mm 球墨鑄鐵,管材,120,根,C 倉,80,200,2026-08-08,,,
M-200-DIP,DIP 管,200mm 球墨鑄鐵,管材,75,根,C 倉,80,150,2026-08-08,,,
M-100-PVC,PVC 管,100mm,管材,260,根,C 倉,200,0,,,,
M-150-PVC,PVC 管,150mm,管材,90,根,C 倉,200,300,2026-08-25,,,
CT-USB-A,USB 連接器,Type A 公頭,連接器,1500,個,D 倉,1000,2000,2026-08-10,15%,2026-08-31
CT-USB-C,USB 連接器,Type C 公頭,連接器,2200,個,D 倉,1000,0,,8%,2026-08-31
CT-RJ45,RJ45 連接器,8P8C 屏蔽型,連接器,3500,個,D 倉,2000,0,,,,
CT-DSUB9,D-Sub 連接器,9 針 公頭,連接器,180,個,D 倉,500,1000,2026-08-15,,,
LED-W-5050,LED 模組,5050 暖白光,LED,8000,顆,A 倉,5000,0,,,,
LED-W-3030,LED 模組,3030 高亮白光,LED,12000,顆,A 倉,5000,15000,2026-08-12,12%,2026-08-31
LED-RGB,LED 模組,RGB 全彩,LED,3500,顆,A 倉,2000,5000,2026-08-20,,,
PS-12V-100W,電源,12V/100W,電源,180,個,B 倉,100,250,2026-08-15,,,
PS-24V-200W,電源,24V/200W,電源,55,個,B 倉,100,300,2026-08-15,,,
PS-48V-500W,電源,48V/500W,電源,28,個,B 倉,50,80,2026-08-22,,,
