月份,供應商代碼,供應商名稱,供應類別,Q品質分數(40%),C成本分數(20%),D交期分數(25%),S服務分數(15%),加權總分,等級,備註
2025-01,SUP-001,聚合材料股份有限公司,導熱填料,88,85,92,90,89.1,A,穩定供應商
2025-01,SUP-002,精密五金工業有限公司,散熱片沖壓,72,80,78,85,76.5,B,D1交期略差，已改善
2025-01,SUP-003,化工原料國際股份有限公司,矽膠基材,65,75,70,80,69.5,C,品質異常 2 件，開 CAR
2025-01,SUP-004,電子材料技術有限公司,導熱膠,90,88,95,92,91.3,A,
2025-01,SUP-005,精密焊接科技股份有限公司,熱導管焊接,80,78,85,88,82.0,B,
2025-01,SUP-006,陽極處理工業有限公司,表面處理,58,70,65,72,63.5,C,色差異常，限期改善
2025-01,SUP-007,塑膠射出成型有限公司,外殼件,85,82,88,86,85.5,A,
2025-01,SUP-008,銅材供應股份有限公司,均溫板銅材,92,80,90,88,89.3,A,
2025-02,SUP-001,聚合材料股份有限公司,導熱填料,90,85,95,90,90.8,A,
2025-02,SUP-002,精密五金工業有限公司,散熱片沖壓,76,80,82,85,79.6,B,D 改善有效
2025-02,SUP-003,化工原料國際股份有限公司,矽膠基材,70,75,72,80,72.8,B,品質改善中，觀察一季
2025-02,SUP-004,電子材料技術有限公司,導熱膠,91,88,94,93,91.5,A,
2025-02,SUP-005,精密焊接科技股份有限公司,熱導管焊接,82,79,87,88,83.4,B,
2025-02,SUP-006,陽極處理工業有限公司,表面處理,72,70,75,78,73.3,B,CAR 矯正措施有效
2025-02,SUP-007,塑膠射出成型有限公司,外殼件,86,83,89,87,86.3,A,
2025-02,SUP-008,銅材供應股份有限公司,均溫板銅材,93,81,91,89,90.3,A,
