員工代號,姓名（去識別化）,部門,職等,考核期間,考核等級,考核總分(100),業績達成率(%),專案完成數,客戶滿意度(1-5),品質異常率(%),培訓完成率(%),提案改善件數,主管評語摘要（去識別化）,備註
EMP-001,員工甲,製造部,S3,2024H2,B,78,95,3,N/A,1.2,100,1,工作態度穩定，品質控管有進步空間，建議加強 SPC 技能。,示範用
EMP-002,員工乙,業務處,S4,2024H2,B,72,82,2,3.8,N/A,50,0,業績達成率未及目標，客戶開發新客數不足，需加強主動出擊頻率。,示範用
EMP-003,員工丙,研發部,S5,2024H2,A,88,105,5,4.5,N/A,100,3,主導新品開發超前進度，跨部門溝通能力強，建議培養專案管理能力。,示範用
EMP-004,員工丁,品保部,S3,2024H2,C,62,90,2,N/A,3.8,0,0,品質異常率偏高，稽核作業需複查次數多，建議加強量測技術與文件規範。,示範用
EMP-005,員工戊,財管部,S4,2024H2,A,91,100,4,N/A,N/A,100,2,月結報表零錯誤，主動優化應收帳款追蹤流程，建議考量接班人培育。,示範用
EMP-006,員工己,製造部,S2,2024H2,B,70,88,2,N/A,2.1,75,0,適應期間表現尚可，出勤需改善，操作規範尚在學習中。,示範用
EMP-007,員工庚,業務處,S5,2024H2,S,95,130,7,4.8,N/A,100,4,年度業績超標 30%，開發 3 個新客戶，建議納入接班人計畫。,示範用
EMP-008,員工辛,資訊部,S4,2024H2,B,75,92,3,N/A,N/A,80,1,系統維護穩定，ERP 優化專案延遲，溝通協調能力需提升。,示範用
EMP-009,員工壬,人資部,S3,2024H2,B,73,95,2,N/A,N/A,60,0,招募作業執行穩定，薪資計算無誤，建議參與更多員工關係活動。,示範用
EMP-010,員工癸,研發部,S6,2024H2,S,97,110,6,4.9,N/A,100,5,技術領航能力突出，多項核心技術申請專利，建議納入技術委員會。,示範用
