工單號,訂單號/樣品號,料號,品名,工單數量(片),已入庫(片),在製中(片),進檢驗站(片),報廢(片),目前最新製程站,下一途程,預計完工日,備註
WO-2025-04201,PO-2025-0831,GS-TIM-5010-10,導熱矽膠片 5.0W/mK,5000,3200,1500,300,0,QC全檢,入庫,2025-06-20,示範用，正式上線請換成實際資料
WO-2025-04202,PO-2025-0832,GS-TIM-3010-15,導熱矽膠片 3.0W/mK,8000,0,6500,1200,300,裁切成型,後段熟化,2025-06-25,示範用，正式上線請換成實際資料
WO-2025-04203,SMP-2025-0215,GS-TIM-8010-10,導熱矽膠片 8.0W/mK 樣品,200,0,180,20,0,QC抽檢,入庫/寄樣,2025-06-18,示範用，正式上線請換成實際資料
WO-2025-04204,PO-2025-0835,GS-TIM-10010-15,導熱矽膠片 10.0W/mK,3000,500,2200,300,0,配料混練,押出成型,2025-07-05,示範用，正式上線請換成實際資料
WO-2025-04205,PO-2025-0836,GS-GS-GP-25-10,石墨散熱片,20000,18000,1800,200,0,QC全檢,入庫,2025-06-17,示範用，正式上線請換成實際資料
WO-2025-04206,SMP-2025-0218,GS-PCM-SHT-01,相變散熱片 8W/mK 樣品,100,0,80,20,0,QC抽檢,包裝/寄樣,2025-06-19,示範用，正式上線請換成實際資料
WO-2025-04207,PO-2025-0840,GS-TIM-6010-10,導熱矽膠片 6.0W/mK,7000,2000,4500,500,0,押出成型,裁切成型,2025-07-02,示範用，正式上線請換成實際資料
WO-2025-04208,PO-2025-0841,GS-TIM-5010-20,導熱矽膠片 5.0W/mK 大尺寸,2500,0,2500,0,0,配料混練,押出成型,2025-07-08,示範用，正式上線請換成實際資料
WO-2025-04209,PO-2025-0842,GS-TIM-3015-20,導熱矽膠片 3.0W/mK 大尺寸,4000,1000,2800,200,0,後段熟化,QC全檢,2025-06-28,示範用，正式上線請換成實際資料
WO-2025-04210,SMP-2025-0220,GS-TIM-5015-20,導熱矽膠片 5.0W/mK 樣品,300,0,260,40,0,裁切成型,後段熟化,2025-06-22,示範用，正式上線請換成實際資料
