料號,品名,類別,規格,認證,應用領域,建議售價區間,庫存狀態,最小起訂量,交期
PROD-A-001,高效率變壓器 12V/5A,變壓器,12V/5A 尺寸50×40×25mm,UL/CE/AEC-Q200,車用/工業,NT$280-320,充足,100 pcs,2 週
PROD-A-002,高效率變壓器 24V/3A,變壓器,24V/3A 尺寸55×42×28mm,UL/CE,工業/醫療,NT$310-350,充足,100 pcs,2 週
PROD-A-003,小型變壓器 12V/2A,變壓器,12V/2A 尺寸40×30×20mm,UL/CE/AEC-Q200,車用/消費,NT$180-220,充足,200 pcs,1 週
PROD-A-005,高功率變壓器 48V/10A,變壓器,48V/10A 尺寸80×60×40mm,UL/CE/IEC 62368,工業/儲能,NT$680-780,缺貨,50 pcs,6 週
PROD-B-001,LED 模組 高亮度白光,LED 模組,5000K 1000lm,UL/RoHS,商業照明/工業,NT$120-150,充足,500 pcs,2 週
PROD-B-002,LED 模組 暖白光,LED 模組,3000K 800lm,UL/RoHS,室內照明,NT$110-140,充足,500 pcs,2 週
PROD-B-003,LED 模組 RGB,LED 模組,RGB 全彩 1500lm,UL/RoHS/CE,景觀/廣告,NT$280-320,充足,200 pcs,3 週
PROD-B-005,LED 車用模組,LED 模組,12V 高亮度 含散熱,UL/CE/AEC-Q102,車用,NT$220-260,缺貨,200 pcs,8 週
PROD-C-001,工業電腦主機板 ATX,主機板,ATX 標準 含 PCIe,UL/CE/FCC,工業/自動化,NT$3800-4500,充足,10 pcs,3 週
PROD-C-002,嵌入式電腦主機板 Mini-ITX,主機板,Mini-ITX 低功耗,UL/CE/FCC,工業/IoT,NT$3200-3800,充足,10 pcs,3 週
PROD-C-003,車載電腦主機板,主機板,寬溫 -40~85°C,UL/CE/AEC-Q100,車用/交通,NT$5800-6800,充足,5 pcs,4 週
PROD-D-001,Wi-Fi 6 路由模組,通訊模組,Wi-Fi 6 雙頻,FCC/CE/NCC,寬頻/IoT,NT$680-780,充足,100 pcs,3 週
PROD-D-002,LoRa 通訊模組,通訊模組,LoRa 低功耗 長距離,FCC/CE/NCC,IoT/智慧城市,NT$420-480,充足,100 pcs,2 週
PROD-D-003,5G 通訊模組,通訊模組,5G NR Sub-6,FCC/CE,通訊/IoT,NT$2800-3200,缺貨,50 pcs,8 週
PROD-E-001,溫度感測器,感測器,-40~125°C 高精度,UL/CE/AEC-Q100,車用/工業,NT$80-120,充足,1000 pcs,1 週
PROD-E-002,壓力感測器,感測器,0-100 PSI,UL/CE,工業/HVAC,NT$180-220,充足,500 pcs,2 週
PROD-E-003,影像感測器 模組,感測器,2MP 超低照度,FCC/CE/AEC-Q102,車用/監控,NT$420-480,充足,200 pcs,3 週
PROD-F-001,工業電源供應器 12V/100W,電源,12V/100W 寬溫,UL/CE/FCC,工業/自動化,NT$580-680,充足,100 pcs,2 週
PROD-F-002,儲能電池模組 48V,電池,48V/10kWh 鋰電,UL/CE/IEC 62619/UN 38.3,儲能/再生能源,NT$48000-58000,充足,5 pcs,4 週
PROD-F-003,車用電池模組 12V,電池,12V/100Ah 鉛酸,UL/CE/AEC-Q200,車用,NT$1280-1480,充足,50 pcs,3 週
