快遞商,目的地區,計費方式,首重費率(USD/kg),續重費率(USD/kg),材積計算公式,燃油附加費(%),偏遠附加費(USD),最低計費重(kg),時效,備註
UPS,日本,取材積重與實重之較大者,8.50,6.20,長x寬x高(cm)/5000,18.5,0,0.5,3-5工作天,
UPS,美國,取材積重與實重之較大者,6.80,5.10,長x寬x高(cm)/5000,18.5,15,0.5,2-3工作天,偏遠地區+15USD
UPS,歐洲,取材積重與實重之較大者,9.20,7.50,長x寬x高(cm)/5000,18.5,20,0.5,3-5工作天,
UPS,中國,取材積重與實重之較大者,5.50,4.20,長x寬x高(cm)/5000,18.5,0,0.5,2-4工作天,
DHL,日本,取材積重與實重之較大者,8.20,5.90,長x寬x高(cm)/5000,19.0,0,0.5,2-3工作天,
DHL,美國,取材積重與實重之較大者,7.10,5.40,長x寬x高(cm)/5000,19.0,12,0.5,2-4工作天,
DHL,歐洲,取材積重與實重之較大者,8.80,7.10,長x寬x高(cm)/5000,19.0,18,0.5,2-4工作天,
DHL,中國,取材積重與實重之較大者,5.20,4.00,長x寬x高(cm)/5000,19.0,0,0.5,1-3工作天,
FedEx,日本,取材積重與實重之較大者,8.80,6.50,長x寬x高(cm)/5000,17.5,0,0.5,2-3工作天,
FedEx,美國,取材積重與實重之較大者,6.50,4.90,長x寬x高(cm)/5000,17.5,10,0.5,1-2工作天,Priority優先
FedEx,歐洲,取材積重與實重之較大者,9.50,7.80,長x寬x高(cm)/5000,17.5,22,0.5,2-4工作天,
FedEx,中國,取材積重與實重之較大者,5.80,4.50,長x寬x高(cm)/5000,17.5,0,0.5,2-3工作天,
FedEx,韓國,取材積重與實重之較大者,7.90,6.10,長x寬x高(cm)/5000,17.5,0,0.5,2-3工作天,
