備註類型,備註原文範例（取自真實訂單）,解讀重點,應產生的注意事項/製程設定,審單判斷
限重設定,1.限重4~4.9，最後一顆可不依限重。,單捲重量區間4.0–4.9噸，末捲放寬,生管/分條：單捲限重4.0–4.9噸；最後一捲不受限,檢查限重是否在產線可達範圍；過小須查OFP00158分切限重防呆
目標寬度,1.目標寬度912~914mm 2.單捲限重2.8-3.2噸 3.請生產足量,客戶要求成品寬度落在窄區間,鍍鋅/分條：目標寬度912–914mm；足量生產,比對訂單寬度與底材修邊寬度設定(附件18)是否相容
修補漆,2.FW386修補漆1加侖。3.SW736修補漆1加侖。,隨貨附指定色號修補漆,出貨：附FW386、SW736修補漆各1加侖,確認色號與正/背色碼一致；通知MKT備料
試驗留板/TAF,4.要做TAF試驗，請現場留板。/ 客戶有做TAF報告需求，請協助切1片30cm全板寬生產板,客戶需TAF認證，需留樣板,品保：現場留板，切30cm全板寬樣板，通知MKT領取,確認取樣型式/數量(流程4.0-G)已設定
勿生產/轉單,2.由TWZ0887轉入，請勿投產。/ *請勿生產* 更改Trader,此單為轉入/重複單，禁止投產,生管：此單請勿投產（轉單來源TWZ0887）,高風險！須人工確認，避免重複生產
數量變更,2025/4/10: 修改數量至30噸,訂單數量經修訂,以最新修訂數量30噸為準,核對訂單修改記錄欄；確認系統數量已更新
平坦度/板形,請特別注意平坦度保證 STEEPNESS & FLATNESS 板形≦12 I-UNIT,客戶對板形有嚴格要求,鍍鋅/品檢：平坦度≦12 I-UNIT，加強板形管控,屬特殊品質要求，建議設訂單追蹤(附件25)
案名工程案,案名：205聯勤兵工廠工程案(補料),政府/指標工程，補料單,備註案名；補料單須與原單規格一致,補料單比對原單規格；可查相似訂單(附件17)
抗靜電,"4.非抗靜電, 單顆重量(3T~4.3T)",明確標示非抗靜電產品,製程：非抗靜電；單捲3.0–4.3噸,確認用途碼/選配碼與抗靜電需求一致(附件8)
包裝變更,變更包裝方式，S4 --> D4,包裝碼由S4改為D4,包裝：採D4（原S4作廢）,確認包裝碼欄位已更新為D4
色碼變更,變更色碼，LY130 --> LY166,正/背色碼經變更,塗裝：採新色碼LY166（原LY130作廢）,比對塗裝批次檔(附件21)色碼是否同步更新
規範引用/品證,煩請品證備註欄上註明：(1)底材符合CNS1237規範 (2)高耐候PVDF產品,客戶指定品證書載明規範,品證：書面註明底材CNS1237、高耐候PVDF,⚠查規範編號正確性！曾發生CNS1237→CNS15237誤植
含硼原料,此為BORON訂單，請採購含硼原料,特殊原料需求,原料：採購含硼(BORON)原料,通知原料處；確認配料材質別相容
機械性質保證,保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT,客戶指定ASTM公差等級,品檢：1/2 ASTM厚度公差 + 平坦度≦12 I-UNIT,確認退火碼/材質別是否帶出機械性質測試(附件6)
MILL CERT要求,COIL LENGTH ON MILL CERT.,品證書需載明鋼捲長度,品證：MILL CERT上標示鋼捲長度,確認單位長度計算(附件11)資料齊全
