會員ID,加入日期,最後購買日,累計消費,訂單筆數,平均回購週期天,主購產品,RFM分群
M0001,2024-01-15,2026-04-28,18540,12,30,有機優蛋白滴積精,頂級鐵粉
M0002,2024-03-22,2026-04-30,12800,8,42,烏梅汁,高潛力
M0003,2024-05-10,2026-04-20,28600,15,28,有機優蛋白滴積精,頂級鐵粉
M0004,2024-08-05,2026-02-15,4200,3,90,甘糀,流失邊緣
M0005,2025-01-20,2026-04-25,15600,9,35,有機優蛋白滴積精,頂級鐵粉
M0006,2025-03-15,2025-12-10,3800,2,180,烏梅汁,已流失
M0007,2025-06-08,2026-04-29,8400,5,55,有機胡蘿蔔汁,一般
M0008,2025-08-22,2026-04-22,5200,4,60,有機紅棗茶,一般
M0009,2025-11-05,2026-03-10,2800,2,75,黑豆水,流失邊緣
M0010,2026-01-08,2026-04-27,4200,3,40,GABA安心茶,高潛力
