客訴編號,客戶代號,發生日期,產品線,現象分類,嚴重度,處理狀態,結案日期
C-2025-014,APEX-001,2025-11-05,AI 雲端伺服器,塗裝剝落,中,已結案,2025-11-26
C-2025-018,RENO-001,2025-12-10,博弈機,尺寸偏差,中,已結案,2025-12-24
C-2024-009,NORDPOWER-001,2024-08-15,儲能系統,漏水,高,已結案,2024-09-12
C-2024-022,YAMAMOTO-001,2024-10-02,工業電腦,噪音,低,已結案,2024-10-20
C-2024-031,APEX-001,2024-11-18,AI 雲端伺服器,標籤誤貼,低,已結案,2024-11-25
C-2024-040,SYDNEYCO-001,2024-12-05,博弈機,組裝鬆動,中,已結案,2024-12-16
C-2025-005,APEX-001,2025-03-20,AI 雲端伺服器,塗裝顏色差異,低,已結案,2025-04-02
C-2025-022,YAMAMOTO-001,2025-12-15,工業電腦,風扇噪音,低,進行中,
C-2025-027,NORDPOWER-001,2026-02-10,儲能系統,IP 等級異常,高,進行中,
C-2025-029,APEX-002,2026-03-05,AI 雲端伺服器,鈑金毛邊,低,進行中,
C-2025-032,RENO-002,2026-04-12,博弈機,螢幕固定不穩,中,進行中,
