案件編號,案件名稱,客戶,案件類型,規模,地區,預算總額NTD,實際總額NTD,毛利率,工期(月),結果,備註
PE-2023-S001,屋頂型太陽能 EPC,鴻海楠梓廠,太陽能 EPC,3.2 MW,高雄,"120,000,000","115,000,000",12.5%,8,完工,屋頂結構順利
PE-2023-S008,地面型太陽能 EPC,聯華電子嘉義案場,太陽能 EPC,12 MW,嘉義,"480,000,000","468,000,000",11.8%,12,完工,用地核准延遲
PE-2024-E002,工商業 ESS 系統,永信製藥廠,ESS,2 MWh,台中,"32,000,000","31,500,000",15.2%,6,完工,削峰填谷應用
PE-2024-E007,工商業 ESS 系統,南亞塑膠林口廠,ESS,5 MWh,新北,"78,000,000","82,000,000",9.8%,8,完工,電池漲價影響毛利
PE-2024-M003,微電網 + ESS 整合案,台灣中油桃園煉油廠,微電網,8 MW + 4 MWh,桃園,"180,000,000","175,000,000",13.5%,10,完工,整合 EMS 加分
PE-2024-W005,陸域風場機組供應,彰化彰化外海風場,離岸風電,2.5 MW × 8 台,彰化,"720,000,000",進行中,預估 14%,60,進行中,與葉片廠協作
PE-2024-D001,重電配電盤 EPC,台積電竹科 P3,重電,10 面 GIS + 30 面 MCC,新竹,"92,000,000","89,000,000",16.8%,10,完工,高效率交付
PE-2024-D008,重電開關設備供應,中油大林 LNG,重電,20 面 GIS + 變壓器 4 台,高雄,"165,000,000","172,000,000",10.5%,14,完工,客變多次造成毛利下降
PE-2025-S003,屋頂型太陽能 EPC,華碩龜山廠,太陽能 EPC,5 MW,桃園,"192,000,000",進行中,預估 13%,9,進行中,ESG 議題驅動
PE-2025-E001,ESS + 太陽能整合,台達電桃三廠,太陽能+ESS,3MW + 2MWh,桃園,"150,000,000",進行中,預估 14.5%,10,進行中,ESG 旗艦案
PE-2025-V001,電動巴士動力總成,高雄客運,車用動力,永磁馬達 50 套,高雄,"20,000,000",進行中,預估 18%,6,進行中,客運電動化政策
PE-2025-G001,政府用變電站擴建,台電鐵路工程,重電,GIS 12 面 + 監控,全台,"85,000,000",進行中,預估 11.5%,12,投標中,公開招標案
