產品別,訂單編號,MKT防呆,SOP防呆,CC1生產備註,CC2生產備註,CG品檢備註,PSR特殊需求,訂單修改記錄
PPGL,2501AIX001/001,"1. 避免客戶下單用途別與色碼不符 (用途碼:COA001, 正面色碼:1PU114 不符)(OFP00029)-{.不符.}","1. 訂單若有厚度變異，冷軋厚度公差比照烤漆計算公式 , 但最小為  1/2 公差做設定 (OFP00254)-{.不符.}
2. ""偏薄要求訂單"" 鍍後厚度減 鍍後厚度下限需大於 0.02 MM,以免發生厚度不足狀況 (OFP00369)-{.不符.}","訂單:2501AIX001/001 CC1 <生產備註> 事項如下 
. 【分切】請收 5噸就好 (RMK-E_CHIN)
. 【特別說明】1.5.塗料商年度對色板需求 ,單面塗裝5u底漆,不包裝不入庫 (RMK-E_CHIN)
. 【特別說明】1.4.★.生產完後暫留準備領取，因此請通知TDCC (RMK-E_CHIN)
. 【特別說明】1.3.底漆MASS控制範圍 75~115 mg/dm2 (RMK-E_CHIN)
. 【特別說明】1.2. 因為對色作業用因此生產時烤漆-控制底漆膜厚於4～6u之間，免得對色影響色差 (RMK-E_CHIN)
. 【特別說明】1.1.鋼捲單面塗5u底漆,另","訂單:2501AIX001/001 CC2 <生產備註> 事項如下 
. 【分切】請收 5噸就好 (RMK-E_CHIN)
. 【特別說明】1.5.塗料商年度對色板需求 ,單面塗裝5u底漆,不包裝不入庫 (RMK-E_CHIN)
. 【特別說明】1.4.★.生產完後暫留準備領取，因此請通知TDCC (RMK-E_CHIN)
. 【特別說明】1.3.底漆MASS控制範圍 75~115 mg/dm2 (RMK-E_CHIN)
. 【特別說明】1.2. 因為對色作業用因此生產時烤漆-控制底漆膜厚於4～6u之間，免得對色影響色差 (RMK-E_CHIN)
. 【特別說明】1.1.鋼捲單面塗5u底漆,另",訂單:2501AIX001/001 CGQC 無 <品檢備註> 事項,H:厚度偏薄,"訂單 2501AIX001/001 修改記錄如下:
20250102 15:51:09 (94057)  退火碼:  >> S1, 用途碼:  >> COA001, 背面標示:  >> S000, 訂單背面顏色(五碼):  >> BE001, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 1, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.42, 訂單重:  >> 5, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 914, 鍍製方式:  >> AC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 3, 鋼捲上限重:"
PPGI,2501AIX002/001,"1. 確認訂單分切限重過小的原因 (OFP00158)-{.不符.}
2. 避免客戶下單用途別與色碼不符 (用途碼:COA034, 正面色碼:1PU114 不符)(OFP00029)-{.不符.}","1. 訂單若有厚度變異，冷軋厚度公差比照烤漆計算公式 , 但最小為  1/2 公差做設定 (OFP00254)-{.不符.}
2. ""偏薄要求訂單"" 鍍後厚度減 鍍後厚度下限需大於 0.02 MM,以免發生厚度不足狀況 (OFP00369)-{.不符.}","訂單:2501AIX002/001 CC1 <生產備註> 事項如下 
. 【分切】請收3噸就好 (RMK-E_CHIN)
. 【說明】塗料商年度對色板需求 ,單面塗裝5u底漆,不包裝不入庫 (RMK-E_CHIN)
. 【說明】★.生產完後暫留準備領取，因此請通知TDCC (RMK-E_CHIN)
. 【說明】底漆MASS控制範圍 75~115 mg/dm2 (RMK-E_CHIN)
. 【說明】 因為對色作業用因此生產時烤漆-控制底漆膜厚於4～6u之間，免得對色影響色差 (RMK-E_CHIN)
. 【說明】鋼捲單面塗5u底漆,另一面只塗前處理 (RMK-E_CHIN)
. 【說明】PPGI","訂單:2501AIX002/001 CC2 <生產備註> 事項如下 
. 【分切】請收3噸就好 (RMK-E_CHIN)
. 【說明】塗料商年度對色板需求 ,單面塗裝5u底漆,不包裝不入庫 (RMK-E_CHIN)
. 【說明】★.生產完後暫留準備領取，因此請通知TDCC (RMK-E_CHIN)
. 【說明】底漆MASS控制範圍 75~115 mg/dm2 (RMK-E_CHIN)
. 【說明】 因為對色作業用因此生產時烤漆-控制底漆膜厚於4～6u之間，免得對色影響色差 (RMK-E_CHIN)
. 【說明】鋼捲單面塗5u底漆,另一面只塗前處理 (RMK-E_CHIN)
. 【說明】PPGI",訂單:2501AIX002/001 CGQC 無 <品檢備註> 事項,H:厚度偏薄,"訂單 2501AIX002/001 修改記錄如下:
20250102 16:21:40 (94057)  退火碼:  >> S1, 用途碼:  >> COA034, 背面標示:  >> S000, 訂單背面顏色(五碼):  >> BE001, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 1, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.42, 訂單重:  >> 3, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 914, 鍍製方式:  >> AC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 1, 鋼捲上限重:"
PPGI,2501AIX003/001,,"1. LWB4A(Z) 分切限重 MAX 7T (OFP00373)-{.不符.}
2. 製造標準為MS、ASTM或銷新加坡之訂單，若無技術指定優先用料，請優先使用國內料，勿使用ANFEN (OFP00406)-{.不符.}","訂單:2501AIX003/001 CC1 <生產備註> 事項如下 
. 【出口捲取】 LWB4A(Z) 分切限重 MAX= 7T....發生大於 7噸 退出會有問題 (RMK-E_CHIN)
. 本單業務：吳東澤 (RMK-E_CHIN)
. 烤漆出口請盡量朝分切限重上限分切（以減少包裝數） (RMK-E_CHIN)
. ★.這是送外分條訂單，有缺陷要切除時請注意一下，免得重量不足★ (RMK-E_CHIN)
. ★本單烤漆最終分切目標 4.2~7.0 T (注意！LWB4A(Z) 收捲限重 MAX 7T)。若有其它因素是可低於★ (RMK-E_CHIN)
. 分條訂單，超寬可放行。若寬度不","訂單:2501AIX003/001 CC2 <生產備註> 事項如下 
. 【出口捲取】 LWB4A(Z) 分切限重 MAX= 7T....發生大於 7噸 退出會有問題 (RMK-E_CHIN)
. 本單業務：吳東澤 (RMK-E_CHIN)
. 烤漆出口請盡量朝分切限重上限分切（以減少包裝數） (RMK-E_CHIN)
. ★.這是送外分條訂單，有缺陷要切除時請注意一下，免得重量不足★ (RMK-E_CHIN)
. ★本單烤漆最終分切目標 4.2~7.0 T (注意！LWB4A(Z) 收捲限重 MAX 7T)。若有其它因素是可低於★ (RMK-E_CHIN)
. 分條訂單，超寬可放行。若寬度不","訂單:2501AIX003/001 CGQC <品檢備註> 事項如下 
. 本單業務：吳東澤 (RMK-E_CHIN)
. ★.這是送外分條訂單，有缺陷要切除時請注意一下，免得重量不足★ (RMK-E_CHIN)
. ★本單烤漆最終分切目標 4.2~7.0 T (注意！LWB4A(Z) 收捲限重 MAX 7T)。若有其它因素是可低於★ (RMK-E_CHIN)
. 分條訂單，超寬可放行。若寬度不足請回饋各線 TED工程師 (RMK-E_CHIN)
. 押條用途 注意鍍層量控制不超過 MAX 140 G/M2，以防烤漆TC性能不佳 (RMK00069)",*:,"訂單 2501AIX003/001 修改記錄如下:
20250103 10:11:02 (94057)  退火碼:  >> S1, 用途碼:  >> CIR001, 背面標示:  >> S000, 訂單背面顏色(五碼):  >> BBF4K, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 2, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.3, 訂單重:  >> 150, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 930, 鍍製方式:  >> BC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 4.2, 鋼捲上"
PPGI,2501AIX003/002,1. 確認訂單分切限重過小的原因 (OFP00158)-{.不符.},"1. LWB4A(Z) 分切限重 MAX 7T (OFP00373)-{.不符.}
2. 製造標準為MS、ASTM或銷新加坡之訂單，若無技術指定優先用料，請優先使用國內料，勿使用ANFEN (OFP00406)-{.不符.}","訂單:2501AIX003/002 CC1 <生產備註> 事項如下 
. 【出口捲取】 LWB4A(Z) 分切限重 MAX 7T....發生大於 7噸 退出會有問題 (RMK-E_CHIN)
. 本單業務：吳東澤  (RMK-E_CHIN)
. 烤漆出口請盡量朝分切限重上限分切（以減少包裝數） (RMK-E_CHIN)
. ★.這是送外分條訂單，有缺陷要切除時請注意一下，免得重量不足★ (RMK-E_CHIN)
. ★本單烤漆最終分切目標 1.5~7.0  T (注意！LWB4A(Z) 收捲限重 MAX 7T)。若有其它因素是可低於★ (RMK-E_CHIN)
. 分條訂單，超寬可放行。若寬度","訂單:2501AIX003/002 CC2 <生產備註> 事項如下 
. 【出口捲取】 LWB4A(Z) 分切限重 MAX 7T....發生大於 7噸 退出會有問題 (RMK-E_CHIN)
. 本單業務：吳東澤  (RMK-E_CHIN)
. 烤漆出口請盡量朝分切限重上限分切（以減少包裝數） (RMK-E_CHIN)
. ★.這是送外分條訂單，有缺陷要切除時請注意一下，免得重量不足★ (RMK-E_CHIN)
. ★本單烤漆最終分切目標 1.5~7.0  T (注意！LWB4A(Z) 收捲限重 MAX 7T)。若有其它因素是可低於★ (RMK-E_CHIN)
. 分條訂單，超寬可放行。若寬度","訂單:2501AIX003/002 CGQC <品檢備註> 事項如下 
. 本單業務：吳東澤  (RMK-E_CHIN)
. ★.這是送外分條訂單，有缺陷要切除時請注意一下，免得重量不足★ (RMK-E_CHIN)
. ★本單烤漆最終分切目標 1.5~7.0  T (注意！LWB4A(Z) 收捲限重 MAX 7T)。若有其它因素是可低於★ (RMK-E_CHIN)
. 分條訂單，超寬可放行。若寬度不足請回饋各線 TED工程師 (RMK-E_CHIN)
. 押條用途 注意鍍層量控制不超過 MAX 140 G/M2，以防烤漆TC性能不佳 (RMK00069)",*:,"訂單 2501AIX003/002 修改記錄如下:
20250103 10:47:26 (94057)  退火碼:  >> S1, 用途碼:  >> CIR001, 背面標示:  >> S000, 訂單背面顏色(五碼):  >> BBF4K, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 2, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.5, 訂單重:  >> 50, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 1039, 鍍製方式:  >> BC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 1.5, 鋼捲上"
PPGL,2501BIX001/001,,"1. 訂單若有厚度變異，冷軋厚度公差比照烤漆計算公式 , 但最小為  1/2 公差做設定 (OFP00254)-{.不符.}
2. ""偏薄要求訂單"" 鍍後厚度減 鍍後厚度下限需大於 0.02 MM,以免發生厚度不足狀況 (OFP00369)-{.不符.}
3. 部分大陸料含B元素超過CNS規範管制，故請原料CNS規範之訂單不要配大陸料 (OFP00684)-{.不符.}","訂單:2501BIX001/001 CC1 <生產備註> 事項如下 
. ★品檢注意！JIS&CNS 訂單必須每滿50噸一定要再做一次TEST (RMK00259)","訂單:2501BIX001/001 CC2 <生產備註> 事項如下 
. ★品檢注意！JIS&CNS 訂單必須每滿50噸一定要再做一次TEST (RMK00259)",訂單:2501BIX001/001 CGQC 無 <品檢備註> 事項,H:厚度偏薄,"訂單 2501BIX001/001 修改記錄如下:
20241210 10:39:08 (22005)  退火碼:  >> S1, 用途碼:  >> COA001, 背面標示:  >> C844, 訂單背面顏色(五碼):  >> BW736, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 2, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.42, 訂單重:  >> 30000, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 914, 鍍製方式:  >> AC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 3, 鋼捲"
PPGL,2501BIX001/002,,"1. 訂單若有厚度變異，冷軋厚度公差比照烤漆計算公式 , 但最小為  1/2 公差做設定 (OFP00254)-{.不符.}
2. ""偏薄要求訂單"" 鍍後厚度減 鍍後厚度下限需大於 0.02 MM,以免發生厚度不足狀況 (OFP00369)-{.不符.}
3. 部分大陸料含B元素超過CNS規範管制，故請原料CNS規範之訂單不要配大陸料 (OFP00684)-{.不符.}","訂單:2501BIX001/002 CC1 <生產備註> 事項如下 
. ★品檢注意！JIS&CNS 訂單必須每滿50噸一定要再做一次TEST (RMK00259)","訂單:2501BIX001/002 CC2 <生產備註> 事項如下 
. ★品檢注意！JIS&CNS 訂單必須每滿50噸一定要再做一次TEST (RMK00259)",訂單:2501BIX001/002 CGQC 無 <品檢備註> 事項,H:厚度偏薄,"訂單 2501BIX001/002 修改記錄如下:
20241210 11:50:56 (22005)  退火碼:  >> S1, 用途碼:  >> COA001, 背面標示:  >> C844, 訂單背面顏色(五碼):  >> BW736, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 2, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.52, 訂單重:  >> 30000, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 914, 鍍製方式:  >> AC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 3, 鋼捲"
PPGL,2501BIX001/003,,"1. 訂單若有厚度變異，冷軋厚度公差比照烤漆計算公式 , 但最小為  1/2 公差做設定 (OFP00254)-{.不符.}
2. ""偏薄要求訂單"" 鍍後厚度減 鍍後厚度下限需大於 0.02 MM,以免發生厚度不足狀況 (OFP00369)-{.不符.}
3. 部分大陸料含B元素超過CNS規範管制，故請原料CNS規範之訂單不要配大陸料 (OFP00684)-{.不符.}","訂單:2501BIX001/003 CC1 <生產備註> 事項如下 
. 超低光澤產品,色差計塗佈量依據5+20U為基準。RYF89 以5+22U為基準。 (RMK00103)
. 請出口人員貼上""請勿堆疊""紅色標簽. (RMK00103)
. R字頭色碼 MASS 目標100%~115%之間. (RMK00103)
. R字頭色碼塗佈量須在20U以上,不然會有白色點狀(繩紋),已被客戶訴賠. (RMK00103)
. 捲起單位張力請加大至 5.5（有另行備註要求張力設定時，依另行備註需求設定）） (RMK00103)
. ★品檢注意！JIS&CNS 訂單必須每滿50噸一定要再做一次TEST ","訂單:2501BIX001/003 CC2 <生產備註> 事項如下 
. 超低光澤產品,色差計塗佈量依據5+20U為基準。RYF89 以5+22U為基準。 (RMK00103)
. 請出口人員貼上""請勿堆疊""紅色標簽. (RMK00103)
. R字頭色碼 MASS 目標100%~115%之間. (RMK00103)
. R字頭色碼塗佈量須在20U以上,不然會有白色點狀(繩紋),已被客戶訴賠. (RMK00103)
. ★品檢注意！JIS&CNS 訂單必須每滿50噸一定要再做一次TEST (RMK00259)
. 1.此為NEO塗料,色差計請用有""(20150105)""的標準樣檔名確認色差值,","訂單:2501BIX001/003 CGQC <品檢備註> 事項如下 
. 瓦形屋頂用 注意鍍層控制範圍：min=標準值，Max=標準值+30 (RMK00103)",H:厚度偏薄,"訂單 2501BIX001/003 修改記錄如下:
20241210 11:52:16 (22005)  退火碼:  >> S1, 用途碼:  >> COA012, 背面標示:  >> C844, 訂單背面顏色(五碼):  >> BW73N, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 2, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.42, 訂單重:  >> 30000, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 914, 鍍製方式:  >> AC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 3, 鋼捲"
PPGL,2501BIX001/004,,"1. 訂單若有厚度變異，冷軋厚度公差比照烤漆計算公式 , 但最小為  1/2 公差做設定 (OFP00254)-{.不符.}
2. ""偏薄要求訂單"" 鍍後厚度減 鍍後厚度下限需大於 0.02 MM,以免發生厚度不足狀況 (OFP00369)-{.不符.}
3. 部分大陸料含B元素超過CNS規範管制，故請原料CNS規範之訂單不要配大陸料 (OFP00684)-{.不符.}","訂單:2501BIX001/004 CC1 <生產備註> 事項如下 
. 超低光澤產品,色差計塗佈量依據5+20U為基準。RYF89 以5+22U為基準。 (RMK00103)
. 請出口人員貼上""請勿堆疊""紅色標簽. (RMK00103)
. R字頭色碼 MASS 目標100%~115%之間. (RMK00103)
. R字頭色碼塗佈量須在20U以上,不然會有白色點狀(繩紋),已被客戶訴賠. (RMK00103)
. 捲起單位張力請加大至 5.5（有另行備註要求張力設定時，依另行備註需求設定）） (RMK00103)
. ★品檢注意！JIS&CNS 訂單必須每滿50噸一定要再做一次TEST ","訂單:2501BIX001/004 CC2 <生產備註> 事項如下 
. 超低光澤產品,色差計塗佈量依據5+20U為基準。RYF89 以5+22U為基準。 (RMK00103)
. 請出口人員貼上""請勿堆疊""紅色標簽. (RMK00103)
. R字頭色碼 MASS 目標100%~115%之間. (RMK00103)
. R字頭色碼塗佈量須在20U以上,不然會有白色點狀(繩紋),已被客戶訴賠. (RMK00103)
. ★品檢注意！JIS&CNS 訂單必須每滿50噸一定要再做一次TEST (RMK00259)
. 1.此為NEO塗料,色差計請用有""(20150105)""的標準樣檔名確認色差值,","訂單:2501BIX001/004 CGQC <品檢備註> 事項如下 
. 瓦形屋頂用 注意鍍層控制範圍：min=標準值，Max=標準值+30 (RMK00103)",H:厚度偏薄,"訂單 2501BIX001/004 修改記錄如下:
20241210 11:52:32 (22005)  退火碼:  >> S1, 用途碼:  >> COA012, 背面標示:  >> C844, 訂單背面顏色(五碼):  >> BW73N, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 2, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.52, 訂單重:  >> 30000, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 914, 鍍製方式:  >> AC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 3, 鋼捲"
PPGL,2501BIX001/005,,"1. 訂單若有厚度變異，冷軋厚度公差比照烤漆計算公式 , 但最小為  1/2 公差做設定 (OFP00254)-{.不符.}
2. ""偏薄要求訂單"" 鍍後厚度減 鍍後厚度下限需大於 0.02 MM,以免發生厚度不足狀況 (OFP00369)-{.不符.}
3. 部分大陸料含B元素超過CNS規範管制，故請原料CNS規範之訂單不要配大陸料 (OFP00684)-{.不符.}","訂單:2501BIX001/005 CC1 <生產備註> 事項如下 
. 超低光澤產品,色差計塗佈量依據5+20U為基準。RYF89 以5+22U為基準。 (RMK00103)
. 請出口人員貼上""請勿堆疊""紅色標簽. (RMK00103)
. R字頭色碼 MASS 目標100%~115%之間. (RMK00103)
. R字頭色碼塗佈量須在20U以上,不然會有白色點狀(繩紋),已被客戶訴賠. (RMK00103)
. 捲起單位張力請加大至 5.5（有另行備註要求張力設定時，依另行備註需求設定）） (RMK00103)
. 本色容易有色差，尚未找到解決對策前，必須塗料商到場協助。 (RMK00","訂單:2501BIX001/005 CC2 <生產備註> 事項如下 
. 超低光澤產品,色差計塗佈量依據5+20U為基準。RYF89 以5+22U為基準。 (RMK00103)
. 請出口人員貼上""請勿堆疊""紅色標簽. (RMK00103)
. R字頭色碼 MASS 目標100%~115%之間. (RMK00103)
. R字頭色碼塗佈量須在20U以上,不然會有白色點狀(繩紋),已被客戶訴賠. (RMK00103)
. 本色容易有色差，尚未找到解決對策前，必須塗料商到場協助。 (RMK00223)
. 以下顏色不用會同:RYB172 , RYB192, RWB372 ,RYB972 (RMK0","訂單:2501BIX001/005 CGQC <品檢備註> 事項如下 
. 瓦形屋頂用 注意鍍層控制範圍：min=標準值，Max=標準值+30 (RMK00103)",H:厚度偏薄,"訂單 2501BIX001/005 修改記錄如下:
20241210 11:52:46 (22005)  退火碼:  >> S1, 用途碼:  >> CIA008, 背面標示:  >> C844, 訂單背面顏色(五碼):  >> BW73N, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 2, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.42, 訂單重:  >> 30000, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 914, 鍍製方式:  >> AC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 3, 鋼捲"
PPGL,2501BIX001/006,,"1. 訂單若有厚度變異，冷軋厚度公差比照烤漆計算公式 , 但最小為  1/2 公差做設定 (OFP00254)-{.不符.}
2. ""偏薄要求訂單"" 鍍後厚度減 鍍後厚度下限需大於 0.02 MM,以免發生厚度不足狀況 (OFP00369)-{.不符.}
3. 部分大陸料含B元素超過CNS規範管制，故請原料CNS規範之訂單不要配大陸料 (OFP00684)-{.不符.}","訂單:2501BIX001/006 CC1 <生產備註> 事項如下 
. 超低光澤產品,色差計塗佈量依據5+20U為基準。RYF89 以5+22U為基準。 (RMK00103)
. 請出口人員貼上""請勿堆疊""紅色標簽. (RMK00103)
. R字頭色碼 MASS 目標100%~115%之間. (RMK00103)
. R字頭色碼塗佈量須在20U以上,不然會有白色點狀(繩紋),已被客戶訴賠. (RMK00103)
. 捲起單位張力請加大至 5.5（有另行備註要求張力設定時，依另行備註需求設定）） (RMK00103)
. 本色容易有色差，尚未找到解決對策前，必須塗料商到場協助。 (RMK00","訂單:2501BIX001/006 CC2 <生產備註> 事項如下 
. 超低光澤產品,色差計塗佈量依據5+20U為基準。RYF89 以5+22U為基準。 (RMK00103)
. 請出口人員貼上""請勿堆疊""紅色標簽. (RMK00103)
. R字頭色碼 MASS 目標100%~115%之間. (RMK00103)
. R字頭色碼塗佈量須在20U以上,不然會有白色點狀(繩紋),已被客戶訴賠. (RMK00103)
. 本色容易有色差，尚未找到解決對策前，必須塗料商到場協助。 (RMK00223)
. 以下顏色不用會同:RYB172 , RYB192, RWB372 ,RYB972 (RMK0","訂單:2501BIX001/006 CGQC <品檢備註> 事項如下 
. 瓦形屋頂用 注意鍍層控制範圍：min=標準值，Max=標準值+30 (RMK00103)",H:厚度偏薄,"訂單 2501BIX001/006 修改記錄如下:
20241210 11:53:06 (22005)  退火碼:  >> S1, 用途碼:  >> CIA008, 背面標示:  >> C844, 訂單背面顏色(五碼):  >> BW73N, 背面漆膜厚:  >> NOM, 背面漆塗漆型式幾塗幾烤:  >> 2, 鉻酸鹽:  >> Z, 訂單厚度:  >> 0.52, 訂單重:  >> 30000, 重量容許率(下限):  >> 10, 重量容許率(上限):  >> 10, 訂單寬度:  >> 914, 鍍製方式:  >> AC, 鋼捲內徑:  >> 508, 鋼捲下限重:  >> 3, 鋼捲"
