※ 示範資料 - 客戶開發案管線（上線前需替換為三達榮真實資料）
案件編號,客戶,業務,款式,目前階段,最後更新日,下一步行動,責任人,預計完成日,備註
D2601001,Sam's Club,小李,26 寸購物袋 H2 系列,報價中,2026-04-28,等客戶回價,Jennifer Wang,2026-05-15,
D2601005,California Innovations,小李,新款 12 罐冰袋,樣品中,2026-04-20,客戶確認樣品,Mary Johnson,2026-05-30,
D2602003,Victorinox,小陳,17 寸新款背包,打樣 2 修,2026-04-25,重新打樣,Lukas Schmidt,2026-05-25,客戶要求調整拉鏈
D2602008,Samsonite,小王,PC 殼 28 寸新色,RFQ 收到,2026-04-30,進入報價階段,Tom Anderson,2026-05-10,
D2603002,Hartmann,小陳,真皮新款 26 寸,樣品中,2026-04-15,等客戶確認,Sophie Miller,2026-06-20,高端線需慢工
D2603012,COSTCO,小王,40 罐冰袋 2026,量產確認,2026-04-28,簽訂單,David Chen,2026-05-05,成交在即
D2604001,Mandarina Duck,小李,MD-CT 新款,提案中,2026-04-10,等義大利反饋,Marco Rossi,2026-06-30,創意需求大
D2604005,新客戶 Tumi,小陳,商務包試做,初步接洽,2026-04-05,確認規格需求,TBD,2026-07-30,新客戶開發中
D2510020,Hartmann,小李,舊款追加,卡關中,2026-03-15,等客戶決定數量,Sophie Miller,2026-04-20,卡關超過 30 天
D2511015,新客戶 Tumi,小王,預備款,卡關中,2026-03-20,客戶內部評估,TBD,2026-05-01,卡關超過 30 天
