品號,品名,規格,工單批號,生產日期,預計產量(pcs),實際產量(pcs),良品數(pcs),報廢數(pcs),良率(%),人時(hr),機時(hr),人工成本(NTD),製費(NTD),材料成本(NTD),總製造成本(NTD),單位成本(NTD)
YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,WO-2025-0101,2025-01-10,500,488,480,8,98.4%,24.0,18.5,9600,7400,24000,41000,84.22
YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,WO-2025-0215,2025-02-20,500,492,485,7,98.6%,23.5,18.0,9400,7200,24250,40850,84.23
YT-TG-2015-05,英騰導熱膏,導熱係數5.0W/mk 15g,WO-2025-0318,2025-03-18,500,490,483,7,98.6%,24.0,18.5,9600,7400,23900,40900,84.7
YT-TG-3010-10,英騰導熱膏,導熱係數3.0W/mk 10g,WO-2025-0105,2025-01-15,1000,978,965,13,98.7%,38.0,30.0,15200,12000,29340,56540,58.6
YT-TG-3010-10,英騰導熱膏,導熱係數3.0W/mk 10g,WO-2025-0220,2025-02-22,1000,985,975,10,99.0%,37.5,29.5,15000,11800,29550,56350,57.8
YT-TG-3010-10,英騰導熱膏,導熱係數3.0W/mk 10g,WO-2025-0310,2025-03-10,1000,990,982,8,99.2%,37.0,29.0,14800,11600,29700,56100,57.13
YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,WO-2025-0108,2025-01-18,200,196,192,4,97.9%,16.0,20.0,6400,8000,19200,33600,175.0
YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,WO-2025-0225,2025-02-25,200,198,195,3,98.5%,15.5,19.5,6200,7800,19500,33500,171.79
YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,WO-2025-0112,2025-01-22,100,97,95,2,97.9%,20.0,25.0,8000,10000,38000,56000,589.47
YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,WO-2025-0305,2025-03-05,100,98,96,2,97.9%,19.5,24.5,7800,9800,38400,56000,583.33
YT-TG-8020-05,英騰高導熱膏,導熱係數8.0W/mk 20g,WO-2025-0115,2025-01-25,300,292,285,7,97.6%,22.0,17.0,8800,6800,39900,55500,194.74
YT-TG-8020-05,英騰高導熱膏,導熱係數8.0W/mk 20g,WO-2025-0228,2025-02-28,300,295,290,5,98.3%,21.5,16.5,8600,6600,39400,54600,188.28
YT-TG-8020-05,英騰高導熱膏,導熱係數8.0W/mk 20g,WO-2025-0320,2025-03-20,300,298,293,5,98.3%,21.0,16.0,8400,6400,39100,53900,184.02
