客戶代碼,客戶名稱,客群類別,產業,規模,地區,主要採購類別,上次接觸日,合作年數,潛在價值
C-001,客戶 A,A,汽車電子,大型,德國,變壓器/感測器,2026-04-10,8,高
C-002,客戶 B,A,工業自動化,大型,美國,主機板/電源,2026-04-08,5,高
C-003,客戶 C,B,3C 通路,大型,台灣,LED 模組,2026-03-25,3,中
C-004,客戶 D,B,電子零件通路,中型,中國,通訊模組,2026-04-15,2,中
C-005,客戶 E,C,影音設備製造,中型,台灣,LED 模組/變壓器,2026-04-02,4,中
C-006,客戶 F,C,中小型 IoT,小型,台灣,感測器/通訊模組,2026-04-12,1,低
C-007,客戶 G,C,工業設備,中型,日本,工業電源,2026-04-18,2,中
C-008,客戶 H,D,家電製造,大型,印尼,變壓器/電源,2026-03-15,1,高(待開發)
C-009,客戶 I,D,智慧家庭,中型,越南,通訊模組/感測器,2026-04-05,1,中
C-010,客戶 J,D,醫療器材,中型,德國,感測器/電源,2026-04-20,3,高
C-011,客戶 K,A,航太,大型,美國,高功率變壓器,2026-02-28,6,高
C-012,客戶 L,A,儲能系統,大型,英國,電池模組/變壓器,2026-04-22,4,高
C-013,客戶 M,B,工控通路,中型,台灣,主機板/工業電腦,2026-04-01,3,中
C-014,客戶 N,C,新創 IoT,小型,台灣,感測器/Wi-Fi 模組,2026-04-25,1,中(待培養)
C-015,客戶 O,D,智慧城市,大型,沙烏地阿拉伯,LED/通訊模組,2026-03-10,2,高(待開發)
