採購單號,採購日期,供應商代碼,供應商名稱,品號,品名,採購數量,原承諾交期,目前最新交期,實際到貨日,狀態,連結訂單,異常天數
PO20260105,2026-01-05,V001,旭東金屬,P-SPRING-T50,T50 彈簧組,5000,2026-03-15,2026-04-10,,延遲,A20260120,26
PO20260112,2026-01-12,V002,大同精密,P-BARREL-3000,3000 槍管組,2000,2026-03-20,2026-03-22,2026-03-22,已到貨,A20260112,2
PO20260120,2026-01-20,V003,昌邦工業,P-MOTOR-DX5,DX5 觸發馬達,800,2026-04-15,2026-05-20,,延遲,A20260301,35
PO20260205,2026-02-05,V001,旭東金屬,P-FRAME-FN90,FN90 機身,1500,2026-04-05,2026-04-08,2026-04-08,已到貨,A20260205,3
PO20260215,2026-02-15,V004,精準零組,P-GAS-IM250,IM250 瓦斯閥,1200,2026-04-30,2026-05-15,,延遲,A20260215,15
PO20260301,2026-03-01,V005,聯興工業,P-COIL-90,90mm 釘體,8000,2026-04-25,2026-04-30,2026-04-29,已到貨,A20260310,5
PO20260310,2026-03-10,V002,大同精密,P-PIN-900,900 細針,3000,2026-05-10,2026-05-12,,進行中,A20260320,2
PO20260320,2026-03-20,V006,中部螺絲,P-SCREW-BS5,BS5 螺絲組,5000,2026-05-25,2026-05-28,,進行中,A20260401,3
PO20260401,2026-04-01,V003,昌邦工業,P-CYLINDER-AN923,AN923 氣缸,2500,2026-06-15,2026-07-05,,延遲,A20260410,20
PO20260410,2026-04-10,V007,新興電池,P-BATTERY-DCN660,18V 電池模組,1000,2026-06-30,2026-07-02,,進行中,A20260420,2
PO20260420,2026-04-20,V008,華山金屬,P-MAGAZINE-NR90,NR90 釘匣,1500,2026-07-15,2026-07-18,,進行中,A20260501,3
PO20260501,2026-05-01,V001,旭東金屬,P-SPRING-T50,T50 彈簧組,3000,2026-06-20,2026-06-25,,進行中,,5
