部門別,業務員,客戶名稱,訂單號,料號,品名,訂單數量(片),訂單金額(NTD),預計出貨月,預計出貨週,實際出貨日,出貨狀態,備註
北區業務部,王業務,緯創資通,PO-2025-0831,GS-TIM-5010-10,導熱矽膠片 5.0W/mK,5000,710000,2025-07,W1,,在製中,示範用，正式上線請換成實際資料
北區業務部,王業務,廣達電腦,PO-2025-0835,GS-TIM-10010-15,導熱矽膠片 10.0W/mK,3000,3750000,2025-07,W2,,在製中,示範用，正式上線請換成實際資料
北區業務部,陳業務,和碩聯合,PO-2025-0836,GS-GS-GP-25-10,石墨散熱片,20000,760000,2025-06,W4,2025-06-17,即將出貨,示範用，正式上線請換成實際資料
南區業務部,林業務,台灣大哥大,PO-2025-0832,GS-TIM-3010-15,導熱矽膠片 3.0W/mK,8000,864000,2025-06,W4,,在製中,示範用，正式上線請換成實際資料
南區業務部,林業務,中華電信,PO-2025-0840,GS-TIM-6010-10,導熱矽膠片 6.0W/mK,7000,1386000,2025-07,W1,,在製中,示範用，正式上線請換成實際資料
南區業務部,黃業務,某EV Tier1廠,PO-2025-0841,GS-TIM-5010-20,導熱矽膠片 5.0W/mK 大尺寸,2500,1225000,2025-07,W2,,在製中,示範用，正式上線請換成實際資料
中區業務部,李業務,台達電子,PO-2025-0842,GS-TIM-3015-20,導熱矽膠片 3.0W/mK 大尺寸,4000,1280000,2025-07,W1,,在製中,示範用，正式上線請換成實際資料
中區業務部,李業務,研華科技,PO-2025-0843,GS-TIM-5020-30,導熱矽膠片 5.0W/mK 工業用,1800,531000,2025-07,W3,,待排程,示範用，正式上線請換成實際資料
海外業務部,Kim業務,Lenovo(CN),PO-2025-0844,GS-TIM-3010-10,導熱矽膠片 3.0W/mK,15000,1275000,2025-07,W2,,待排程,示範用，正式上線請換成實際資料
海外業務部,Kim業務,Siemens(DE),PO-2025-0845,GS-TIM-3020-20,導熱矽膠片 3.0W/mK 工業,2500,437500,2025-07,W3,,待排程,示範用，正式上線請換成實際資料
北區業務部,王業務,緯創資通,PO-2025-0850,GS-TIM-5010-10,導熱矽膠片 5.0W/mK,8000,1136000,2025-08,W1,,待排程,示範用，正式上線請換成實際資料
南區業務部,林業務,台灣大哥大,PO-2025-0851,GS-TIM-5010-20,導熱矽膠片 5.0W/mK 大尺寸,3000,1470000,2025-08,W2,,待排程,示範用，正式上線請換成實際資料
中區業務部,張業務,技嘉科技,PO-2025-0852,GS-TIM-8015-20,導熱矽膠片 8.0W/mK EV用,1500,1470000,2025-08,W1,,待排程,示範用，正式上線請換成實際資料
海外業務部,Kim業務,ABB(SE),PO-2025-0853,GS-TIM-5020-30,導熱矽膠片 5.0W/mK 工業,2000,590000,2025-08,W3,,待排程,示範用，正式上線請換成實際資料
海外業務部,Park業務,Samsung(KR),PO-2025-0854,GS-GS-GP-25-15,石墨散熱片 120×80,30000,1350000,2025-08,W2,,待排程,示範用，正式上線請換成實際資料
