工令號,料號,品名,訂單號,計畫開始日,計畫完成日,計畫數量,機台編號,製程別,備註
WO-2026-0601,TIM-001-A,導熱矽膠片1.0mm,ORD-8801,2026-06-16,2026-06-18,5000,WC-101,切割,
WO-2026-0602,VAP-003,均溫板150x120,ORD-8802,2026-06-16,2026-06-20,200,WC-103,壓合,
WO-2026-0603,GRP-004,石墨片200x200,ORD-8803,2026-06-17,2026-06-19,1000,WC-104,壓合,
WO-2026-0604,TPA-005,導熱膠帶300x200,ORD-8804,2026-06-17,2026-06-21,2000,WC-105,塗布,
WO-2026-0605,FIN-007,散熱片250x180,ORD-8805,2026-06-18,2026-06-22,800,WC-107,沖壓,
WO-2026-0606,TPC-006,相變材料,ORD-8806,2026-06-18,2026-06-20,500,WC-106,塗布,
WO-2026-0607,HEP-009,熱管φ6x200,ORD-8807,2026-06-19,2026-06-23,300,WC-109,焊接,
WO-2026-0608,EMI-015,電磁波吸收材,ORD-8808,2026-06-19,2026-06-24,600,WC-115,壓製,
WO-2026-0609,TIM-002-B,導熱墊片0.5mm,ORD-8809,2026-06-20,2026-06-22,3000,WC-102,切割,
WO-2026-0610,TEC-014,致冷晶片40x40,ORD-8810,2026-06-20,2026-06-25,150,WC-114,組裝,
WO-2026-0611,CMC-013,金屬基板,ORD-8811,2026-06-21,2026-06-26,100,WC-113,壓合,
WO-2026-0612,GRP-012,石墨精切100x80,ORD-8812,2026-06-21,2026-06-24,2000,WC-112,雷射切,
WO-2026-0613,TIM-010,矽膠片固化,ORD-8813,2026-06-22,2026-06-23,4000,WC-110,固化,
WO-2026-0614,COP-008,銅導熱片300x200,ORD-8814,2026-06-22,2026-06-25,500,WC-108,沖壓,
WO-2026-0615,TPC-011,相變點膠,ORD-8815,2026-06-23,2026-06-26,800,WC-111,點膠,
