訂單號,客戶代號,客戶名稱,料號,品名,規格,數量,單位,單價(USD),金額(USD),交期,送貨地址,備註
SO-2024-0012,CUS-JP001,Panasonic JP,TIM-A10-0.5T,導熱介面材料,A10系列 0.5mm,200,PCS,1.20,240.00,2024-11-10,"1-15 Matsuo-cho, Kadoma, Osaka, Japan",
SO-2024-0013,CUS-US003,Nvidia US,HSF-G200-120,散熱模組,G200 120mm風扇,50,SET,35.00,1750.00,2024-11-15,"2788 San Tomas Expy, Santa Clara, CA, USA",需加貼客戶料號標籤
SO-2024-0014,CUS-DE007,Siemens DE,THP-C80-3MM,導熱墊片,C80系列 3.0mm 100x100mm,500,PCS,0.85,425.00,2024-11-20,"Werner-von-Siemens-Str. 1, 80333 Munich, Germany",
SO-2024-0015,CUS-TW010,台達電子,FAN-DC12-4010,DC散熱風扇,12V 40x40x10mm,1000,PCS,0.55,550.00,2024-11-18,台北市內湖區瑞光路186號,
SO-2024-0016,CUS-JP001,Panasonic JP,TIM-B20-1.0T,導熱介面材料,B20系列 1.0mm,300,PCS,1.80,540.00,2024-11-25,"1-15 Matsuo-cho, Kadoma, Osaka, Japan",同SO-2024-0012客戶
SO-2024-0017,CUS-US005,Apple US,IVC-P100-200,均溫板,P100型 200x150mm,20,PCS,125.00,2500.00,2024-12-01,"1 Infinite Loop, Cupertino, CA, USA",NDA適用，出貨需加密封袋
SO-2024-0018,CUS-FR002,Schneider FR,EMI-S30-A,電磁波吸收材,S30系列 A型,400,PCS,2.10,840.00,2024-11-28,"35 Rue Joseph Monier, 92500 Rueil-Malmaison, France",
SO-2024-0019,CUS-CN006,聯想集團,HPS-L50-AL,散熱片,L50鋁擠型 50x50x15mm,2000,PCS,0.42,840.00,2024-12-05,北京市海淀區科學院南路2號,
SO-2024-0020,CUS-KR004,Samsung KR,TCP-T90-6MM,導熱相變材料,T90系列 6.0mm,150,PCS,3.20,480.00,2024-11-30,"1 Samsung-ro, Giheung-gu, Yongin-si, Gyeonggi-do, Korea",
SO-2024-0021,CUS-TW010,台達電子,IVC-P80-150,均溫板,P80型 150x100mm,30,PCS,88.00,2640.00,2024-12-08,台北市內湖區瑞光路186號,
SO-2024-0022,CUS-JP003,Sony JP,TIM-A10-0.5T,導熱介面材料,A10系列 0.5mm,100,PCS,1.20,120.00,2024-12-10,"1-7-1 Konan, Minato, Tokyo, Japan",
SO-2024-0023,CUS-US003,Nvidia US,IVC-P100-200,均溫板,P100型 200x150mm,10,PCS,125.00,1250.00,2024-12-15,"2788 San Tomas Expy, Santa Clara, CA, USA",
