詢價單號,客戶名稱,客戶等級,產品型號,數量,報價金額NTD,落單金額NTD,勝負,成交價落差(%),競爭對手,交期(週),案件年月
RFQ-2023-0214,上銀科技,KA,AESV2-IE3-005,12,"168,000","164,000",勝,-2.4,東芝,3,2023-02
RFQ-2023-0356,上銀科技,KA,AESV2-IE3-020,8,"528,000","510,000",勝,-3.4,ABB,3,2023-04
RFQ-2023-0512,台積電竹科,KA,AESV5-IE5-050,20,"9,800,000","9,200,000",勝,-6.1,Siemens,8,2023-06
RFQ-2023-0789,中油大林,KA,AEXD-IIB-100,6,"5,640,000",0,失單,-100.0,WEG,12,2023-09
RFQ-2023-1102,鴻海桃園,一般,INV-G-150,15,"1,275,000","1,050,000",勝,-17.6,Delta,2,2023-11
RFQ-2024-0089,統一企業,KA,GR-W-025,30,"2,400,000","2,250,000",勝,-6.3,SEW,1,2024-01
RFQ-2024-0234,中鋼大煉鋼,KA,GR-H-150,8,"5,840,000",0,失單,-100.0,Flender,5,2024-03
RFQ-2024-0511,永信藥品,一般,INV-V-075,10,"1,650,000","1,580,000",勝,-4.2,Mitsubishi,3,2024-05
RFQ-2024-0678,台達電桃園,KA,SVR-A-3KW,25,"5,250,000","4,950,000",勝,-5.7,Yaskawa,5,2024-07
RFQ-2024-0945,南亞塑膠,一般,AESV2-IE3-010,6,"228,000",0,失單,-100.0,東芝,2,2024-09
RFQ-2024-1188,華新麗華,KA,AESV2-IE3-020,20,"1,360,000","1,290,000",勝,-5.1,ABB,3,2024-11
RFQ-2025-0078,新北汙水廠,政府,BLW-CF-200,4,"12,400,000","11,800,000",勝,-4.8,Howden,14,2025-01
RFQ-2025-0234,台塑麥寮,KA,MCC-IP31-65kA,12,"8,640,000","8,300,000",勝,-3.9,Schneider,12,2025-02
RFQ-2025-0411,鴻海高雄半導體,KA,AESV5-IE5-050,30,"14,700,000",進行中,進行中,-,Siemens,8,2025-04
RFQ-2025-0488,彰化離岸風場 W3,KA,風力發電機 2.5MW,15,"112,500,000",進行中,進行中,-,Vestas,60,2025-05
RFQ-2025-0556,中鋼大煉鋼,KA,GR-H-150,10,"7,300,000",進行中,進行中,-,Flender,5,2025-06
