活動編號,活動名稱,活動類別,計畫預算（含稅）,實際花費（含稅）,執行率(%),狀態,簽呈單號,活動起始日,活動結束日,負責人,備註
MKT-2025-001,2025 台北電子展攤位,展覽,280000,189000,67.5%,執行中,SQ-2025-0823,2025-10-15,2025-10-18,王小明,含攤位費/大圖/運費；仍有尾款未付
MKT-2025-002,LED 驅動電源廣告投放（Q3）,媒體廣告,120000,120000,100.0%,已完成,SQ-2025-0701,2025-07-01,2025-09-30,陳小華,Google 廣告，預算用罄
MKT-2025-003,散熱模組產品型錄設計印刷,設計印刷,45000,38500,85.6%,已完成,SQ-2025-0615,2025-06-20,2025-07-15,林小珊,印刷500份，設計已結案
MKT-2025-004,Q4 客戶感謝餐會,客戶活動,60000,0,0.0%,計畫中,SQ-2025-1001,2025-11-20,2025-11-20,王小明,場地尚未確認
MKT-2025-005,EDM 電子報系統年費,系統工具,18000,18000,100.0%,已完成,SQ-2025-0101,2025-01-01,2025-12-31,陳小華,Mailchimp 年訂閱
MKT-2025-006,散熱片社群廣告（Facebook/IG）,媒體廣告,80000,72500,90.6%,執行中,SQ-2025-0801,2025-08-01,2025-10-31,林小珊,超支預警，剩餘預算7500
MKT-2025-007,2025 上海 NEPCON 展覽,展覽,350000,312000,89.1%,執行中,SQ-2025-0520,2025-09-03,2025-09-05,王小明,含機票住宿攤位，超支預警
MKT-2025-008,產品發布會場地租借,活動場地,55000,55000,100.0%,已完成,SQ-2025-0910,2025-09-25,2025-09-25,陳小華,已結案
MKT-2025-009,TIM 系列產品規格 DM,設計印刷,25000,0,0.0%,計畫中,（待申請）,2025-11-01,2025-11-30,林小珊,尚未發起簽呈
MKT-2025-010,年底贈品採購（USB 風扇）,禮品,40000,38200,95.5%,執行中,SQ-2025-1005,2025-10-01,2025-12-31,王小明,超支預警，執行率達95.5%
