記錄時間,機台編號,站別,料號,批號,參數名稱,設定值,實測值,單位,是否異常,異常代碼,備註
2026-06-15 08:05,WC-103,壓合站,VAP-003,B2402,模溫,80,79.5,°C,否,,
2026-06-15 08:10,WC-103,壓合站,VAP-003,B2402,壓力,5.0,5.1,Bar,否,,
2026-06-15 09:15,WC-101,切割站,TIM-001-A,B2401,轉速,2000,1950,RPM,否,,
2026-06-15 09:30,WC-101,切割站,TIM-001-A,B2401,進給速,80,95,mm/s,是,P-01,超出上限15%
2026-06-15 10:00,WC-105,塗布站,TPA-005,B2404,刮刀速,150,148,mm/s,否,,
2026-06-15 10:45,WC-105,塗布站,TPA-005,B2404,模溫,45,52,°C,是,P-02,溫度偏高7°C
2026-06-15 11:20,WC-107,沖壓站,FIN-007,B2403,壓力,80,79,Bar,否,,
2026-06-15 13:00,WC-104,壓合站,GRP-004,B2406,模溫,60,58,°C,否,,
2026-06-15 13:30,WC-104,壓合站,GRP-004,B2406,壓力,4.0,3.2,Bar,是,P-03,壓力不足20%
2026-06-15 14:15,WC-111,點膠站,TPC-011,B2409,點膠壓力,2.5,2.6,Bar,否,,
2026-06-15 14:45,WC-112,雷射站,GRP-012,B2407,雷射功率,50,50,W,否,,
2026-06-15 15:30,WC-102,切割站,TIM-002-B,B2405,轉速,2500,2480,RPM,否,,
2026-06-15 16:00,WC-108,沖壓站,COP-008,B2408,壓力,100,105,Bar,是,P-04,壓力超上限5%
2026-06-15 16:30,WC-115,EMI站,EMI-015,B2410,模溫,70,68,°C,否,,
2026-06-15 17:00,WC-110,烤箱,TIM-010,B2401,爐溫,120,117,°C,否,,
