模具料號,模具品名,對應成品料號前綴,批次號,單據類型,到廠日期,送修次數,最新送修日期,壽命_次,累計使用次數,狀態,備註
MLD-001,切割模具A,TIM-001,B2401,WS,2026-03-10,2,2026-06-01,100000,45000,使用中,
MLD-002,壓合模具B,VAP-003,B2402,WS,2026-01-15,1,2026-04-20,80000,32000,使用中,
MLD-003,沖壓模具C,FIN-007,B2403,WS,2025-11-20,3,2026-05-15,120000,88000,使用中,
MLD-004,塗布刮刀D,TPA-005,B2404,IN,2026-02-01,0,—,50000,12000,使用中,新品未送修
MLD-005,切割模具E,TIM-002,B2405,WS,2025-08-10,5,2026-06-10,100000,92000,近限,接近壽命
MLD-006,壓合模具F,GRP-004,B2406,WS,2025-12-05,2,2026-03-01,80000,65000,使用中,
MLD-007,雷射治具G,GRP-012,B2407,IN,2026-04-01,0,—,200000,8000,使用中,新品
MLD-008,沖壓模具H,COP-008,B2408,WS,2025-09-01,4,2026-05-30,120000,110000,超限,需換新
MLD-009,點膠針頭I,TPC-011,B2409,WS,2026-05-01,1,2026-06-05,10000,6500,使用中,
MLD-010,EMI壓模J,EMI-015,B2410,WS,2026-01-10,2,2026-04-15,90000,41000,使用中,
MLD-011,CMC壓模K,CMC-013,B2411,IN,2026-03-20,0,—,60000,5000,使用中,新品
MLD-012,TEC治具L,TEC-014,B2412,WS,2025-10-01,3,2026-02-28,30000,27000,近限,
