職能代碼,職能名稱,適用部門,適用職等,說明,對應課程編號
COMP-01,3D機構設計,研發部,S3-S6,熟悉 SolidWorks/ProE，能獨立完成零組件與組件設計,TRN-001
COMP-02,熱模擬分析,研發部,S4-S6,能使用 ANSYS Icepak 或 Fluent 進行散熱模組熱流分析,TRN-010
COMP-03,散熱產品知識,研發部、業務處,S2-S5,熟悉熱管、均溫板、散熱片工作原理與規格,TRN-002
COMP-04,業務簡報溝通,業務處,S3-S6,能製作專業提案簡報並進行客戶簡報與異議處理,TRN-003
COMP-05,英語商務溝通,業務處、研發部,S2-S6,能以英語進行Email往來及技術文件閱讀,TRN-006
COMP-06,SPC統計製程管制,製造部、品保部,S3-S5,能建立管制圖並解讀製程異常，Cpk/Ppk計算,TRN-007
COMP-07,ISO品質稽核,品保部,S3-S5,取得 ISO 9001 內稽員資格，能獨立執行稽核,TRN-005
COMP-08,ERP人事模組操作,人資部,S2-S4,熟悉鼎新 ERP 考勤薪資模組，能獨立處理薪資計算,TRN-008
COMP-09,數據分析與報表,全部門,S2-S5,能用 Excel 樞紐分析處理大量數據並製作視覺化報表,TRN-004
COMP-10,初階人員管理,全部門主管,S5-S6,能設定部屬目標、執行績效面談及處理團隊衝突,TRN-009
COMP-11,專案管理,研發部、製造部,S4-S6,能運用 PMP 方法論規劃跨部門專案並追蹤里程碑,TRN-011
COMP-12,AI工具應用,全部門,S2-S6,能善用 AI 工具提升日常文件處理、資料分析效率,TRN-012
