訂單單號,訂單日期,客戶代碼,客戶名稱,品號,訂單數量,已出貨數量,未交數量,需求交期,訂單狀態
A20260101,2026-01-05,C001,Bostitch USA,EW-T50-15GA,1500,500,1000,2026-05-30,進行中
A20260112,2026-01-12,C002,BeA Germany,EW-3000-Pro,800,200,600,2026-06-15,進行中
A20260120,2026-01-20,C003,MAX Japan,EW-NT65-J,400,0,400,2026-05-20,缺料
A20260205,2026-02-05,C004,Senco Distributor,EW-FN90,600,300,300,2026-05-15,進行中
A20260215,2026-02-15,C005,Paslode AU,EW-IM250-A,500,100,400,2026-06-30,進行中
A20260301,2026-03-01,C006,Hilti EU,EW-DX5,300,0,300,2026-07-15,缺料
A20260310,2026-03-10,C001,Bostitch USA,EW-COIL90,2000,0,2000,2026-05-25,進行中
A20260320,2026-03-20,C002,BeA Germany,EW-PT900,400,0,400,2026-06-20,進行中
A20260401,2026-04-01,C007,Stanley CA,EW-BS5,1000,200,800,2026-07-30,進行中
A20260410,2026-04-10,C008,Makita SEA,EW-AN923,700,0,700,2026-08-15,進行中
A20260420,2026-04-20,C009,DeWalt UK,EW-DCN660,350,0,350,2026-08-30,進行中
A20260501,2026-05-01,C010,Hitachi LATAM,EW-NR90AE,450,0,450,2026-09-15,進行中
