報警碼,報警說明,嚴重等級,影響設備,停機類型,第一處置,聯絡對象,預計修復時間_分,備註
ALM-001,主軸過電流,緊急,"WC-101,WC-102",立即停機,"切斷電源,確認過載原因",機電維修,30,
ALM-002,液壓壓力不足,警告,"WC-103,WC-104,WC-115",限速繼續,確認液壓油位與油管,液壓維修,20,
ALM-003,加熱器溫度異常,緊急,"WC-103,WC-104,WC-105,WC-110",立即停機,確認加熱控制器,電氣維修,45,
ALM-004,急停按鈕被按,警告,全機台,立即停機,確認現場安全後復位,現場作業員,5,
ALM-005,刀具磨損偵測,一般,"WC-101,WC-102",計畫停機,安排換刀,模具倉,60,
ALM-006,進給伺服異常,緊急,"WC-101,WC-102,WC-112",立即停機,檢查伺服驅動器,機電維修,60,
ALM-007,真空吸附失效,警告,"WC-103,WC-104",減速繼續,確認真空泵與管路,機電維修,15,
ALM-008,雷射功率不穩,警告,WC-112,限速繼續,確認雷射電源與光路,雷射專員,30,
ALM-009,空壓不足,一般,"WC-111,WC-115",限速繼續,確認空壓機輸出壓力,廠務,10,
ALM-010,油溫過高,警告,"WC-107,WC-108",減速繼續,確認冷卻水系統,廠務,20,
ALM-011,夾具定位失敗,一般,"WC-112,WC-113",暫停,確認夾具位置,機電維修,15,
ALM-012,軸承振動超標,警告,"WC-101,WC-102,WC-108",計畫停機,振動量測確認,機電維修,120,建議預防更換
ALM-013,通訊中斷,警告,全機台,繼續(本機),確認網路/PLC通訊,MIS/IT,20,
ALM-014,緊急停機聯鎖,緊急,全機台,立即停機,確認觸發源,主管+維修,60,
ALM-015,潤滑油不足,一般,"WC-107,WC-108,WC-113",計畫停機,補加潤滑油,設備操作員,10,
