日期,星期,電表編號,區域,用電量(kWh),較前7天均值差異(%),用水量(噸),較前7天均值差異(%),抄表人員,異常旗標,備註
2024-05-01,三,EM-A01,A棟辦公室,245,2.1,3.2,1.5,E0749,,
2024-05-02,四,EM-A01,A棟辦公室,238,-1.0,3.1,-3.1,E0749,,
2024-05-03,五,EM-A01,A棟辦公室,251,4.6,3.3,3.1,E0749,,
2024-05-04,六,EM-A01,A棟辦公室,85,-64.7,0.8,-75.0,E0749,,假日，辦公室人少
2024-05-05,日,EM-A01,A棟辦公室,78,-67.6,0.7,-78.1,E0749,,假日
2024-05-06,一,EM-A01,A棟辦公室,242,0.8,3.2,0.0,E0749,,
2024-05-07,二,EM-A01,A棟辦公室,255,6.3,3.4,6.3,E0749,,
2024-05-08,三,EM-B01,B棟生產線,1250,3.3,12.5,2.5,E0749,,
2024-05-09,四,EM-B01,B棟生產線,1380,14.1,13.8,13.1,E0749,Y,用電異常，詢問後確認新設備試機
2024-05-10,五,EM-B01,B棟生產線,1520,25.6,15.2,24.6,E0749,Y,試機持續，生管確認中
2024-05-11,六,EM-B01,B棟生產線,680,-43.8,6.8,-44.3,E0749,,加班但產線縮編
2024-05-12,日,EM-B01,B棟生產線,120,-90.1,1.2,-90.2,E0749,,僅保全供電
2024-05-13,一,EM-B01,B棟生產線,1260,4.1,12.6,3.3,E0749,,試機完畢，恢復正常
2024-05-14,二,EM-B02,B棟生產線(東區),620,5.1,6.2,3.3,E0749,,
2024-05-15,三,EM-B02,B棟生產線(東區),635,7.6,6.4,6.7,E0749,,
2024-05-16,四,EM-B02,B棟生產線(東區),598,1.4,6.0,0.0,E0749,,
2024-05-17,五,EM-C01,C棟宿舍,185,2.8,8.2,1.2,E0749,,
2024-05-18,六,EM-C01,C棟宿舍,210,16.7,9.1,12.3,E0749,Y,用電偏高，住戶反映冷氣故障持續運轉
2024-05-19,日,EM-C01,C棟宿舍,205,14.4,8.8,8.6,E0749,Y,持續觀察中
2024-05-20,一,EM-C01,C棟宿舍,182,1.7,8.1,0.0,E0749,,維修完成恢復正常
2024-05-21,二,EM-A01,A棟辦公室,262,9.6,3.5,9.4,E0749,Y,用電偏高，主管請查原因
2024-05-22,三,EM-A01,A棟辦公室,248,3.3,3.3,3.1,E0749,,確認前日供應商說明會，人員較多
2024-05-23,四,EM-B03,B棟壓縮機室,890,0.0,0.0,0.0,E0749,,
2024-05-24,五,EM-B03,B棟壓縮機室,920,3.4,0.0,0.0,E0749,,
2024-05-25,六,EM-B03,B棟壓縮機室,850,-4.5,0.0,0.0,E0749,,
