訂單號,料號,品名,訂單數量,派工數量,餘量,機台編號,工令號,狀態,備註
ORD-8801,TIM-001-A,導熱矽膠片1.0mm,5000,5000,0,WC-101,WO-2026-0601,已派滿,
ORD-8802,VAP-003,均溫板150x120,200,200,0,WC-103,WO-2026-0602,已派滿,
ORD-8803,GRP-004,石墨片200x200,1000,500,500,WC-104,WO-2026-0603,未派滿,餘500需追加
ORD-8804,TPA-005,導熱膠帶300x200,2000,2000,0,WC-105,WO-2026-0604,已派滿,
ORD-8805,FIN-007,散熱片250x180,800,0,800,WC-107,—,未派工,待安排
ORD-8806,TPC-006,相變材料,500,500,0,WC-106,WO-2026-0606,已派滿,
ORD-8807,HEP-009,熱管φ6x200,300,300,0,WC-109,WO-2026-0607,已派滿,
ORD-8808,EMI-015,電磁波吸收材,600,400,200,WC-115,WO-2026-0608,未派滿,餘200
ORD-8809,TIM-002-B,導熱墊片0.5mm,3000,3000,0,WC-102,WO-2026-0609,已派滿,
ORD-8810,TEC-014,致冷晶片40x40,150,150,0,WC-114,WO-2026-0610,已派滿,
ORD-8811,CMC-013,金屬基板,100,0,100,WC-113,—,未派工,待安排
ORD-8812,GRP-012,石墨精切100x80,2000,2000,0,WC-112,WO-2026-0612,已派滿,
