課程編號,課程名稱,適用職務,題號,題目,選項,正解,解析
TR-01,一般安全衛生教育,全體新進,Q1,發現消防通道被堆放物料應如何處理？,A立即清除並通報/B下班再說/C不關我事,A,通道阻塞屬高風險須立即處理
TR-01,一般安全衛生教育,全體新進,Q2,看到同事未戴護目鏡進入研磨區？,A提醒並協助取得/B視而不見/C嘲笑他,A,互相提醒是安全文化基礎
TR-02,化學品作業安全,調配區人員,Q3,接觸固化劑前必備PPE？,A耐化學手套+護目鏡/B只要手套/C不需要,A,化學灼傷預防需手部與眼部防護
TR-02,化學品作業安全,調配區人員,Q4,SDS的用途？,A化學品安全資料/B出貨單/D請假單,A,SDS提供危害與急救資訊
TR-03,機械作業安全,成型機操作,Q5,機台卡料時正確做法？,A停機上鎖掛牌(LOTO)後排除/B徒手快速排除/C邊運轉邊弄,A,LOTO防止意外啟動夾傷
TR-03,機械作業安全,成型機操作,Q6,安全連鎖可否旁路？,A嚴禁/B趕工時可以/C主管同意就好,A,安全裝置不得擅自旁路
TR-04,電氣安全,保養人員,Q7,帶電作業前應？,A停電作業許可並驗電/B直接做/C戴手套就好,A,停電作業許可預防感電
TR-05,人因與搬運,出貨/倉儲,Q8,搬運重物正確姿勢？,A屈膝直背或用輔具/B彎腰硬抬/C單手拖,A,正確姿勢預防拉傷
TR-06,高架作業,維修/外牆,Q9,2公尺以上作業？,A全程繫安全帶掛勾/B站穩就好/C快做不用,A,墜落防護為高架作業必要,示範用
TR-07,承攬商入廠安全,承攬商,Q10,入廠施工前？,A完成危害告知與作業許可/B直接開工/C口頭說一下,A,承攬管理須書面告知與許可
