發票號碼,開立日期,客戶代碼,客戶名稱,銷貨單號,訂單單號,品號,銷售數量,幣別,銷售金額,付款條件,預計入帳日,實際入帳金額,實際入帳日,差異說明
INV20260101,2026-01-10,C001,Bostitch USA,SO20260115,A20260101,EW-T50-15GA,500,USD,64250,T/T 30天,2026-02-10,64250,2026-02-08,正常
INV20260102,2026-01-20,C002,BeA Germany,SO20260112,A20260112,EW-3000-Pro,200,EUR,28400,T/T 45天,2026-03-06,28400,2026-03-05,正常
INV20260103,2026-02-05,C001,Bostitch USA,SO20260201,A20260101,EW-T50-15GA,500,USD,64250,T/T 30天,2026-03-07,64250,2026-03-15,延遲入帳 8天
INV20260104,2026-02-15,C003,MAX Japan,SO20260201,A20260120,EW-NT65-J,300,JPY,4740000,L/C 60天,2026-04-16,4740000,2026-04-14,正常
INV20260105,2026-03-10,C002,BeA Germany,SO20260301,A20260112,EW-3000-Pro,400,EUR,56800,T/T 45天,2026-04-24,56500,2026-04-22,扣款 300 EUR(海運破損)
INV20260106,2026-03-20,C004,Senco Distributor,SO20260315,A20260205,EW-FN90,300,USD,34800,T/T 30天,2026-04-19,30000,2026-04-25,客戶部分扣款待確認
INV20260107,2026-04-01,C001,Bostitch USA,SO20260401,A20260101,EW-T50-15GA,500,USD,64250,T/T 30天,2026-05-01,,,未入帳(逾期)
INV20260108,2026-04-15,C005,Paslode AU,SO20260415,A20260215,EW-IM250-A,100,AUD,16800,T/T 30天,2026-05-15,16800,2026-05-12,正常
INV20260109,2026-04-20,C002,BeA Germany,SO20260401,A20260112,EW-3000-Pro,400,EUR,56800,T/T 45天,2026-06-04,,,進行中
INV20260110,2026-04-25,C006,Hilti EU,SO20260415,A20260301,EW-DX5,150,EUR,31500,T/T 45天,2026-06-09,,,進行中
INV20260111,2026-05-05,C007,Stanley CA,SO20260501,A20260401,EW-BS5,200,CAD,11000,T/T 30天,2026-06-04,,,進行中
INV20260112,2026-05-08,C008,Makita SEA,SO20260508,A20260410,EW-AN923,300,USD,40500,T/T 30天,2026-06-07,,,進行中
