工令號,料號,品名,訂單號,客戶名稱,訂單交期,計畫完成日,已完成數量,計畫數量,狀態,備註
WO-2026-0601,TIM-001-A,導熱矽膠片1.0mm,ORD-8801,客戶甲,2026-06-20,2026-06-18,2000,5000,生產中,
WO-2026-0602,VAP-003,均溫板150x120,ORD-8802,客戶乙,2026-06-22,2026-06-20,50,200,生產中,
WO-2026-0603,GRP-004,石墨片200x200,ORD-8803,客戶丙,2026-06-21,2026-06-19,0,1000,待開工,
WO-2026-0604,TPA-005,導熱膠帶300x200,ORD-8804,客戶丁,2026-06-25,2026-06-21,800,2000,生產中,
WO-2026-0605,FIN-007,散熱片250x180,ORD-8805,客戶戊,2026-06-28,2026-06-22,0,800,待開工,
WO-2026-0606,TPC-006,相變材料,ORD-8806,客戶己,2026-06-23,2026-06-20,200,500,生產中,
WO-2026-0607,HEP-009,熱管φ6x200,ORD-8807,客戶庚,2026-06-30,2026-06-23,0,300,待開工,
WO-2026-0608,EMI-015,電磁波吸收材,ORD-8808,客戶辛,2026-07-02,2026-06-24,0,600,待開工,
WO-2026-0609,TIM-002-B,導熱墊片0.5mm,ORD-8809,客戶甲,2026-06-24,2026-06-22,1500,3000,生產中,
WO-2026-0610,TEC-014,致冷晶片40x40,ORD-8810,客戶壬,2026-07-05,2026-06-25,0,150,待開工,
WO-2026-0611,CMC-013,金屬基板,ORD-8811,客戶癸,2026-07-10,2026-06-26,0,100,待開工,
WO-2026-0612,GRP-012,石墨精切100x80,ORD-8812,客戶甲,2026-06-27,2026-06-24,500,2000,生產中,
