子公司,訂單號,客戶代號,客戶名稱,料號,品名,訂購數量,出貨數量,單價(USD),金額(USD),預計交期,是否為子公司互買,贈品/樣品旗標,出貨狀態,備註
高柏台灣,SO-2024-0012,CUS-JP001,Panasonic JP,TIM-A10-0.5T,導熱介面材料,200,200,1.20,240.00,2024-11-10,否,否,預計出貨,
高柏台灣,SO-2024-0013,CUS-US003,Nvidia US,HSF-G200-120,散熱模組,50,50,35.00,1750.00,2024-11-15,否,否,預計出貨,
高柏美國,SO-US-0088,CUS-US003,Nvidia US,TIM-A10-0.5T,導熱介面材料,50,50,1.20,60.00,2024-11-15,否,否,預計出貨,與台灣子公司重複！
高柏中國,SO-CN-0045,高柏台灣,THP-C80-3MM,導熱墊片,100,100,0.00,0.00,2024-11-12,是,否,預計出貨,子公司互買應排除
高柏台灣,SO-2024-0014,CUS-DE007,Siemens DE,THP-C80-3MM,導熱墊片,500,500,0.85,425.00,2024-11-20,否,否,預計出貨,
高柏台灣,SO-2024-S01,CUS-TW010,台達電子,FAN-DC12-4010,樣品測試-散熱風扇,5,5,0.00,0.00,2024-11-18,否,是,預計出貨,樣品單應排除
高柏日本,SO-JP-0033,CUS-JP001,Panasonic JP,TIM-B20-1.0T,導熱介面材料,300,300,1.80,540.00,2024-11-25,否,否,預計出貨,
高柏台灣,SO-2024-0016,CUS-JP001,Panasonic JP,TIM-B20-1.0T,導熱介面材料,300,0,1.80,540.00,2024-11-25,否,否,生產中,與高柏日本重複！
高柏台灣,SO-2024-0018,CUS-FR002,Schneider FR,EMI-S30-A,電磁波吸收材,400,400,2.10,840.00,2024-11-28,否,否,預計出貨,
高柏越南,SO-VN-0019,CUS-CN006,聯想集團,HPS-L50-AL,散熱片,2000,2000,0.42,840.00,2024-12-05,否,否,預計出貨,
高柏中國,SO-CN-0046,高柏越南,HPS-L50-AL,散熱片,500,500,0.00,0.00,2024-12-05,是,否,預計出貨,子公司互買應排除
高柏台灣,SO-2024-T01,CUS-TW010,台達電子,IVC-P80-150,測試品,2,2,0.00,0.00,2024-12-08,否,是,預計出貨,測試品應排除
