部門,製程類別,群組分類,備註
針一組,針車,標準針車組（一～四）,"傳統針車線, 主要做拉桿箱、軟包等"
針二組,針車,標準針車組（一～四）,傳統針車線
針三組,針車,標準針車組（一～四）,傳統針車線
針四組,針車,標準針車組（一～四）,傳統針車線
針五組,針車,標準針車組（五～七）,"傳統針車線, 含 VIC 系列背包"
針六組,針車,標準針車組（五～七）,傳統針車線
針七組,針車,標準針車組（五～七）,"傳統針車線, 含 VIC 系列背包"
針八組,針車,標準針車組（八～九）,Sam's 系列大單專責
針九組,針車,標準針車組（八～九）,Sam's 系列大單專責
針十组,針車,標準針車組（十～十二）,配件雜項與小單
針十一组,針車,標準針車組（十～十二）,Sam's 系列大單專責
針十二组,針車,標準針車組（十～十二）,Sam's 系列大單專責
針XY1組,針車,XY 系列針車組,EVA 壓膜午餐袋 / 冰袋專責產線
針XY2組,針車,XY 系列針車組,EVA 壓膜午餐袋 / 冰袋專責產線
針XY3組,針車,XY 系列針車組,COSTCO 40 罐冰袋專責
針XY4組,針車,XY 系列針車組,COSTCO 40 罐冰袋專責
針XY5組,針車,XY 系列針車組,COSTCO 40 罐冰袋專責
針XY6組,針車,XY 系列針車組,COSTCO 40 罐冰袋專責
針BH1組,成型,BH 系列成型組,"成型製程, 無拉鏈冰袋類產品"
針BH2組,成型,BH 系列成型組,"成型製程, 12 罐冰袋專責"
針BH3組,成型,BH 系列成型組,"COSTCO 16 吋手提冰袋專責, 多色多訂單併線"
針BH4組,成型,BH 系列成型組,8 吋方形午餐袋專責
針BH6組,成型,BH 系列成型組,12 罐冰袋專責
打釘組A,後整,後整製程組,釘扣、後整理作業
外協組,外協加工,外協加工,"外部代工, 製程欄位通常為空白, 產量計入訂單累積"
