成品品號,成品品名,成品規格,原料品號,原料品名,原料規格,用量(g/pcs),單位,版次,備註
YT-TG-2015-05,英騰導熱膏,5.0W/mk 15g,RM-SIL-OIL-01,矽油基礎料,導熱矽油A級,8.5,g,v2.1,主基材
YT-TG-2015-05,英騰導熱膏,5.0W/mk 15g,RM-AL2O3-01,氧化鋁粉,D50=5um,5.2,g,v2.1,導熱填料
YT-TG-2015-05,英騰導熱膏,5.0W/mk 15g,RM-BN-01,氮化硼粉,高純度BN,1.3,g,v2.1,導熱填料輔助
YT-TG-3010-10,英騰導熱膏,3.0W/mk 10g,RM-SIL-OIL-01,矽油基礎料,導熱矽油A級,5.8,g,v1.8,主基材
YT-TG-3010-10,英騰導熱膏,3.0W/mk 10g,RM-AL2O3-01,氧化鋁粉,D50=5um,3.5,g,v1.8,導熱填料
YT-TG-8020-05,英騰高導熱膏,8.0W/mk 20g,RM-SIL-OIL-01,矽油基礎料,導熱矽油A級,9.2,g,v3.0,主基材
YT-TG-8020-05,英騰高導熱膏,8.0W/mk 20g,RM-AL2O3-01,氧化鋁粉,D50=5um,4.0,g,v3.0,導熱填料
YT-TG-8020-05,英騰高導熱膏,8.0W/mk 20g,RM-BN-01,氮化硼粉,高純度BN,5.8,g,v3.0,高導熱填料主力
YT-TG-8020-05,英騰高導熱膏,8.0W/mk 20g,RM-ZNO-01,氧化鋅粉,奈米級ZnO,1.0,g,v3.0,輔助填料
YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,RM-SIL-GEL-01,矽膠基材,Shore 20A,45.0,g,v2.3,基材
YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,RM-AL2O3-01,氧化鋁粉,D50=5um,32.0,g,v2.3,導熱填料
YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,RM-BN-01,氮化硼粉,高純度BN,15.0,g,v2.3,高導熱填料
YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,RM-PET-01,PET離型膜,50um厚,2.0,pcs,v2.3,上下保護膜 各1片
YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,RM-COPPER-01,銅箔,0.1mm厚,18.5,g,v1.5,上下蓋板
YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,RM-GRAPHITE-01,石墨粉,均溫板燒結用,3.2,g,v1.5,毛細結構
YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,RM-WATER-DI-01,去離子水,電阻值>18MΩ,0.8,ml,v1.5,工作流體
YT-VC-1515-08,英騰均溫板,15x15cm/0.8mm,RM-COPPER-01,銅箔,0.1mm厚,31.2,g,v1.2,上下蓋板
YT-VC-1515-08,英騰均溫板,15x15cm/0.8mm,RM-GRAPHITE-01,石墨粉,均溫板燒結用,5.5,g,v1.2,毛細結構
YT-VC-1515-08,英騰均溫板,15x15cm/0.8mm,RM-WATER-DI-01,去離子水,電阻值>18MΩ,1.2,ml,v1.2,工作流體
YT-TP-1030-10,英騰導熱片,1.0mm/300x300mm,RM-SIL-GEL-01,矽膠基材,Shore 20A,72.0,g,v2.0,基材
YT-TP-1030-10,英騰導熱片,1.0mm/300x300mm,RM-AL2O3-01,氧化鋁粉,D50=5um,54.0,g,v2.0,導熱填料
YT-TP-1030-10,英騰導熱片,1.0mm/300x300mm,RM-BN-01,氮化硼粉,高純度BN,22.0,g,v2.0,高導熱填料
