訂單號,客戶代碼,客戶名稱,產品料號,產品名稱,訂購數量,訂單金額,訂單日期,預計出貨日,實際出貨日,物流追蹤號,訂單狀態
ORD-2026-00120,C-001,客戶 A,PROD-A-001,高效率變壓器 12V/5A,500,160000,2026-04-01,2026-04-15,2026-04-14,SF-2026-001,已出貨
ORD-2026-00121,C-001,客戶 A,PROD-B-001,LED 模組 高亮度白光,2000,260000,2026-04-02,2026-04-22,2026-04-22,SF-2026-002,已出貨
ORD-2026-00122,C-002,客戶 B,PROD-A-002,高效率變壓器 24V/3A,300,99000,2026-04-03,2026-04-18,2026-04-17,DHL-2026-003,已出貨
ORD-2026-00123,C-003,客戶 C,PROD-C-001,工業電腦主機板 ATX,30,123000,2026-04-05,2026-04-26,2026-04-25,FX-2026-004,已出貨
ORD-2026-00124,C-001,客戶 A,PROD-A-002,高效率變壓器 24V/3A,200,66000,2026-04-06,2026-04-21,,,生產中
ORD-2026-00125,C-002,客戶 B,PROD-A-001,高效率變壓器 12V/5A,200,64000,2026-04-08,2026-04-25,2026-04-23,SF-2026-005,已出貨
ORD-2026-00126,C-004,客戶 D,PROD-D-001,Wi-Fi 6 路由模組,500,360000,2026-04-09,2026-04-30,,,生產中
ORD-2026-00127,C-005,客戶 E,PROD-B-003,LED 模組 RGB,800,240000,2026-04-10,2026-05-01,,,生產中
ORD-2026-00128,C-002,客戶 B,PROD-E-001,溫度感測器,3000,300000,2026-04-12,2026-04-26,2026-04-25,DHL-2026-006,已出貨
ORD-2026-00129,C-006,客戶 F,PROD-A-003,小型變壓器 12V/2A,1000,200000,2026-04-15,2026-05-05,,,生產中
ORD-2026-00130,C-003,客戶 C,PROD-F-001,工業電源供應器 12V/100W,200,124000,2026-04-16,2026-04-30,,,排程中
ORD-2026-00131,C-001,客戶 A,PROD-A-001,高效率變壓器 12V/5A,300,96000,2026-04-18,2026-05-03,,,排程中
ORD-2026-00132,C-007,客戶 G,PROD-B-001,LED 模組 高亮度白光,1500,195000,2026-04-20,2026-05-08,,,排程中
ORD-2026-00133,C-005,客戶 E,PROD-A-005,高功率變壓器 48V/10A,50,36500,2026-04-22,2026-06-03,,,等待原料
ORD-2026-00134,C-008,客戶 H,PROD-C-002,嵌入式電腦主機板 Mini-ITX,20,72000,2026-04-25,2026-05-15,,,排程中
