產業別,系統廠,料號,品名,導熱係數(W/m·K),R值(℃·cm²/W),軟硬度(Shore 00),厚度(mm),規格(mm),參考牌價(NTD/片),幣別,備註
伺服器/資料中心,Dell,GS-TIM-3010-10,導熱矽膠片 3.0W/mK,3.0,0.12,40,1.0,100×100,85,NTD,示範用，正式上線請換成實際資料
伺服器/資料中心,Dell,GS-TIM-3010-15,導熱矽膠片 3.0W/mK,3.0,0.18,40,1.5,100×100,108,NTD,示範用，正式上線請換成實際資料
伺服器/資料中心,HPE,GS-TIM-5010-10,導熱矽膠片 5.0W/mK,5.0,0.08,45,1.0,100×100,142,NTD,示範用，正式上線請換成實際資料
伺服器/資料中心,HPE,GS-TIM-5015-20,導熱矽膠片 5.0W/mK,5.0,0.10,45,2.0,100×100,265,NTD,示範用，正式上線請換成實際資料
伺服器/資料中心,Supermicro,GS-TIM-6010-10,導熱矽膠片 6.0W/mK,6.0,0.07,50,1.0,100×100,198,NTD,示範用，正式上線請換成實際資料
電信/5G基地台,Nokia,GS-TIM-3015-20,導熱矽膠片 3.0W/mK,3.0,0.20,38,2.0,200×200,320,NTD,示範用，正式上線請換成實際資料
電信/5G基地台,Ericsson,GS-TIM-5010-20,導熱矽膠片 5.0W/mK,5.0,0.12,42,2.0,200×200,490,NTD,示範用，正式上線請換成實際資料
電信/5G基地台,Huawei,GS-TIM-8010-10,導熱矽膠片 8.0W/mK,8.0,0.06,55,1.0,150×150,385,NTD,示範用，正式上線請換成實際資料
電動車/EV,Tesla,GS-TIM-10010-15,導熱矽膠片 10.0W/mK,10.0,0.05,60,1.5,300×200,1250,NTD,示範用，正式上線請換成實際資料
電動車/EV,BYD,GS-TIM-8015-20,導熱矽膠片 8.0W/mK,8.0,0.07,55,2.0,300×200,980,NTD,示範用，正式上線請換成實際資料
電動車/EV,Panasonic,GS-PCM-SHT-01,相變散熱片 8W/mK,8.0,0.06,30,0.5,100×100,540,NTD,示範用，正式上線請換成實際資料
工業自動化,Siemens,GS-TIM-3020-20,導熱矽膠片 3.0W/mK,3.0,0.25,35,2.0,150×100,175,NTD,示範用，正式上線請換成實際資料
工業自動化,ABB,GS-TIM-5020-30,導熱矽膠片 5.0W/mK,5.0,0.18,40,3.0,150×100,295,NTD,示範用，正式上線請換成實際資料
醫療設備,Philips,GS-TIM-3010-05,導熱矽膠片 3.0W/mK,3.0,0.10,35,0.5,50×50,42,NTD,示範用，正式上線請換成實際資料
醫療設備,GE Healthcare,GS-TIM-5010-05,導熱矽膠片 5.0W/mK,5.0,0.06,40,0.5,50×50,68,NTD,示範用，正式上線請換成實際資料
消費電子,Apple,GS-GS-GP-25-10,石墨散熱片 1500W/mK,1500,—,—,0.025,100×60,38,NTD,示範用，正式上線請換成實際資料
消費電子,Samsung,GS-GS-GP-25-15,石墨散熱片 1500W/mK,1500,—,—,0.025,120×80,45,NTD,示範用，正式上線請換成實際資料
消費電子,Lenovo,GS-TIM-3010-10,導熱矽膠片 3.0W/mK,3.0,0.12,40,1.0,80×60,62,NTD,示範用，正式上線請換成實際資料
網通/路由器,Cisco,GS-TIM-6015-15,導熱矽膠片 6.0W/mK,6.0,0.09,48,1.5,100×80,165,NTD,示範用，正式上線請換成實際資料
