訂單編號,料號,品名,供應商,下單數量,已交數量,未交數量,預計交期,訂單狀態,備註
PO-2026-0501,SWCH18A-Φ8,線材 SWCH18A 直徑8mm,中鴻線材,5000,3000,2000,2026-05-25,交貨中,
PO-2026-0498,SWCH10A-Φ6,線材 SWCH10A 直徑6mm,中鴻線材,4000,4000,0,2026-04-30,已結案,
PO-2026-0512,M8L25-Z(白鋅代工),M8L25 鍍白鋅,東捷鍍鋅,80000,0,80000,2026-05-20,待交貨,廠商確認延遲 3 天
PO-2026-0518,M10L40-Z(白鋅代工),M10L40 鍍白鋅,東捷鍍鋅,30000,15000,15000,2026-06-05,交貨中,
PO-2026-0505,M8L25-D(達克羅代工),M8L25 達克羅,德昌達克羅,50000,50000,0,2026-04-28,已結案,
PO-2026-0521,M8L30-D(達克羅代工),M8L30 達克羅,德昌達克羅,40000,20000,20000,2026-06-08,交貨中,
PO-2026-0515,SUS304-Φ6,不鏽鋼線材 304 直徑6mm,燁興不鏽鋼,3000,0,3000,2026-05-22,逾期,原訂 05-15 未到
PO-2026-0525,SUS304-Φ8,不鏽鋼線材 304 直徑8mm,燁興不鏽鋼,2500,2500,0,2026-05-10,已結案,
PO-2026-0530,M6L20-S(鈍化代工),M6L20 不鏽鋼鈍化,精誠表處,20000,8000,12000,2026-06-10,交貨中,
PO-2026-0535,M6L20-Z(白鋅代工),M6L20 鍍白鋅,東捷鍍鋅,60000,0,60000,2026-06-20,待交貨,
PO-2026-0508,內六角扳手,出貨用工具,昆河工具,500,500,0,2026-04-25,已結案,
PO-2026-0540,牛皮紙箱-25kg,出貨包裝紙箱,鴻全紙器,3000,1500,1500,2026-05-28,交貨中,
PO-2026-0545,牛皮紙箱-50kg,出貨包裝紙箱,鴻全紙器,2000,0,2000,2026-06-15,待交貨,
PO-2026-0510,熱處理代工,M10L40 滲碳熱處理,大昌熱處理,20000,20000,0,2026-04-22,已結案,
PO-2026-0548,熱處理代工,M12L50 滲碳熱處理,大昌熱處理,15000,5000,10000,2026-06-12,交貨中,
PO-2026-0552,SWCH18A-Φ10,線材 SWCH18A 直徑10mm,中鴻線材,4500,0,4500,2026-06-18,逾期,原訂 06-05 未到
PO-2026-0555,M8L25-Z(白鋅代工),M8L25 鍍白鋅,東捷鍍鋅,100000,0,100000,2026-06-25,待交貨,大客戶長單
PO-2026-0560,塑膠袋-1kg,內包裝塑膠袋,環保塑業,5000,5000,0,2026-05-02,已結案,
PO-2026-0565,塑膠袋-1kg,內包裝塑膠袋,環保塑業,4500,2000,2500,2026-06-18,交貨中,
PO-2026-0570,M6L20-D(達克羅代工),M6L20 達克羅,德昌達克羅,40000,0,40000,2026-06-30,待交貨,
