欄位群組,欄位名稱,欄位說明,填寫者,是否必填,範例值
基本資訊,文件編號,承認書唯一編號（系統自動產生）,系統,是,APA-2025-GT-001
基本資訊,版本,文件版本號,系統,是,V1.0
基本資訊,建立日期,承認書建立日期,系統,是,2025-01-15
基本資訊,客戶名稱,客戶公司全名,品保,是,○○半導體股份有限公司
基本資訊,客戶料號,客戶端使用之料號,業務/客戶,是,CUS-TIM-3050A
基本資訊,高柏料號,高柏內部料號,品保,是,GT-TIM-3050
產品資訊,品名,產品中文名稱,品保,是,導熱介面材料 3.0W/mK
產品資訊,英文品名,產品英文名稱（出口用）,品保,視需要,Thermal Interface Material 3.0W/mK
產品資訊,產品型號,內部型號,品保,是,TIM-3050-1.0T
規格資訊,導熱係數,單位 W/mK,品保,是,≥3.0 W/mK
規格資訊,厚度規格,標稱值與公差,品保,是,1.0 ± 0.05 mm
規格資訊,尺寸,長×寬或直徑,品保,是,100×100 mm
規格資訊,顏色,外觀顏色,品保,視需要,灰色
規格資訊,硬度,Shore A 或 Asker C,品保,視需要,Asker C 40 ± 5
規格資訊,電氣特性,體積電阻率（若需要）,品保,視需要,≥1×10¹² Ω·cm
法規符合,RoHS 符合性,RoHS 2.0 符合聲明,品保,是,符合 EU 2011/65/EU
法規符合,REACH SVHC,SVHC 含量聲明,品保,是,< 0.1%（依 ECHA 2025 清單）
法規符合,無鹵素,是否無鹵素聲明,品保,視需要,符合 IEC 61249-2-21
包裝資訊,包裝方式,每包數量與包裝描述,品保,是,每包 100 片，PE 袋密封
包裝資訊,外箱規格,外箱尺寸與重量,物流,是,300×200×150mm，毛重 2.5 kg
包裝資訊,儲存條件,溫度、濕度、保存期限,品保,是,5~30°C，RH<70%，12 個月
簽核資訊,品保工程師,審查確認,品保,是,（簽名）
簽核資訊,品保主管,核准,品保主管,是,（簽名）
簽核資訊,客戶承認,客戶端承認簽核,客戶,是,（客戶簽名/蓋章）
